,Observed Annual Streamflow
1858,201320.4
1859,255507.6
1860,221354.4
1861,211814.4
1862,274778.4
1863,242151.6
1864,218683.2
1865,230131.2
1866,253981.2
1867,221926.8
1868,186056.4
1869,156482.4
1870,242151.6
1871,257224.8
1872,234519.6
1873,215630.4
1874,204945.6
1875,224407.2
1876,276686.4
1877,186628.8
1878,186438.0
1879,253891.6
1880,276025.3
1881,264888.4
1882,243717.0
1883,223983.4
1884,226433.7
1885,226570.9
1886,223014.4
1887,272184.0
1888,214072.3
1889,146003.4
1890,208108.3
1891,177420.4
1892,210089.3
1893,231004.4
1894,325588.9
1895,205832.4
1896,241469.7
1897,254739.7
1898,242728.9
1899,246303.8
1900,236237.3
1901,230617.3
1902,209451.5
1903,223194.9
1904,254348.0
1905,152084.5
1906,168880.8
1907,241485.6
1908,208443.5
1909,202029.6
1910,224582.4
1911,199740.8
1912,195459.9
1913,225264.4
1914,198896.5
1915,158950.3
1916,250295.1
1917,220469.8
1918,216619.3
1919,184226.3
1920,169005.1
1921,242292.9
1922,195473.0
1923,191543.7
1924,149301.9
1925,213929.5
1926,130459.2
1927,218382.4
1928,243395.2
1929,142388.9
1930,142941.0
1931,131230.1
1932,200002.8
1933,211175.0
1934,220459.3
1935,185079.8
1936,172482.4
1937,140511.4
1938,204343.4
1939,160904.3
1940,162932.0
1941,149493.5
1942,193483.2
1943,220625.6
1944,129804.9
1945,163208.6
1946,207857.3
1947,206792.4
1948,248388.3
1949,192961.8
1950,232628.1
1951,239399.3
1952,214145.2
1953,196805.0
1954,227578.4
1955,192261.9
1956,261595.7
1957,208133.1
1958,198232.6
1959,229404.8
1960,210996.0
1961,205494.0
1962,190120.8
1963,192164.8
1964,203251.3
1965,240486.6
1966,177170.8
1967,214155.4
1968,190667.3
1969,226682.3
1970,184364.2
1971,247414.3
1972,266334.9
1973,146181.8
1974,284273.8
1975,205510.3
1976,246048.3
1977,115768.8
1978,208745.3
1979,160877.8
1980,182066.8
1981,205313.8
1982,249304.3
1983,228361.5
1984,228563.3
1985,174712.0
1986,210596.8
1987,155957.7
1988,146251.9
1989,182448.2
1990,192590.6
1991,207867.2
1992,139186.4
1993,167338.9
1994,144251.4
1995,189702.2
1996,266527.2
1997,280687.0
1998,189086.7
