,Missouri River at Toston - Natural Streamflows,,,,,,,,,,,,
,Historical Flows plus historical depletions for 13 upstream node basins,,,,,,,,,,,,
,Calendar year            Units -KAF,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
,,,,,,,,,,,,,
1929,159.10,111.91,206.66,229.40,468.00,1127.85,787.51,545.78,168.36,146.04,170.22,187.22,4308.05
1930,133.94,183.62,185.11,284.74,435.80,803.34,547.10,418.22,249.08,206.93,173.57,166.37,3787.82
1931,158.69,124.76,209.74,231.37,369.95,829.48,523.44,480.51,124.03,83.13,120.66,140.27,3396.04
1932,102.21,129.59,177.18,194.91,631.86,1048.27,606.56,442.11,291.37,124.68,190.19,152.64,4091.56
1933,159.81,103.42,170.80,185.56,353.28,1113.81,667.78,267.90,211.60,154.60,195.89,180.41,3764.86
1934,179.77,162.36,181.91,120.96,210.64,315.58,508.23,461.37,148.71,52.61,63.68,120.57,2526.41
1935,116.83,119.54,153.43,172.16,213.35,851.81,567.25,424.65,246.61,67.61,139.09,153.94,3226.26
1936,142.20,90.66,209.55,271.13,683.09,487.23,555.26,365.59,173.75,72.82,106.84,128.00,3286.11
1937,102.44,159.19,155.80,215.88,533.42,596.33,490.65,486.88,178.70,71.13,86.39,137.14,3213.95
1938,134.11,126.63,146.05,203.06,527.55,998.13,625.13,446.25,276.45,134.46,201.90,190.63,4010.35
1939,168.72,99.71,235.04,263.51,482.19,531.25,620.57,432.62,217.96,111.96,131.00,164.39,3458.92
1940,138.43,143.11,196.46,257.44,717.90,899.63,484.57,474.44,108.47,118.62,139.90,171.91,3850.87
1941,163.45,145.44,194.34,193.18,328.72,517.54,553.93,314.09,202.45,239.53,231.41,232.17,3316.25
1942,169.68,175.26,236.88,510.94,615.58,1145.52,762.77,451.33,253.28,158.70,211.62,217.56,4909.11
1943,174.07,245.21,314.23,505.92,575.02,1313.67,889.52,495.53,307.72,180.53,215.49,216.81,5433.72
1944,209.19,188.50,205.19,211.25,272.31,829.88,761.54,434.99,285.43,186.13,199.05,188.07,3971.54
1945,226.20,198.22,193.98,187.23,322.91,645.03,699.73,424.56,230.82,187.28,197.45,194.14,3707.55
1946,204.92,197.13,250.40,350.12,463.15,717.41,573.68,414.89,240.69,226.26,243.95,263.94,4146.54
1947,211.72,194.82,307.34,442.31,864.15,1006.80,810.39,487.76,265.79,268.17,254.75,264.52,5378.51
1948,229.96,207.89,267.22,490.24,891.24,1312.92,755.81,518.12,319.08,231.95,236.68,222.17,5683.28
1949,183.46,180.95,262.33,482.13,635.02,823.86,634.09,443.46,269.62,191.91,207.04,189.29,4503.17
1950,167.28,189.08,229.91,284.60,387.04,894.46,728.66,491.24,286.63,259.75,250.34,252.09,4421.08
1951,191.96,202.72,239.38,325.44,739.68,864.97,710.64,424.06,307.62,212.71,221.13,181.88,4622.17
1952,174.71,211.22,246.68,489.13,908.36,1006.07,766.76,498.50,372.85,187.99,213.95,233.90,5310.12
1953,231.46,182.52,200.36,214.28,290.80,1138.45,829.27,482.30,313.05,223.27,243.04,205.57,4554.34
1954,166.26,198.74,191.82,218.51,406.20,551.03,795.56,398.77,278.82,184.72,207.79,152.12,3750.33
1955,147.34,131.21,161.16,202.77,366.32,773.14,702.94,583.88,242.76,157.91,202.32,210.03,3881.77
1956,206.46,142.62,277.89,376.62,737.20,1063.32,603.93,418.50,298.57,187.67,261.25,183.23,4757.27
