Year   Observed
1906   11.76
1907   14.07
1908    7.73
1909   12.10
1910    9.38
1911   11.74
1912    6.71
1913    6.24
1914   10.92
1915   10.99
1916   10.83
1917    8.83
1918    6.19
1919    7.00
1920    5.15
1921    9.20
1922    8.97
1923    7.06
1924    3.87
1925    6.39
1926    5.75
1927    9.52
1928    8.27
1929    5.22
1930    5.90
1931    3.66
1932    5.48
1933    4.63
1934    4.07
1935    6.98
1936    7.75
1937    6.87
1938   12.62
1939    5.58
1940    8.88
1941   11.47
1942   11.27
1943    9.77
1944    6.35
1945    6.80
1946    7.70
1947    5.61
1948    7.12
1949    6.09
1950    6.62
1951    9.18
1952   12.38
1953    9.55
1954    8.51
1955    6.14
1956   11.38
1957    7.83
1958   12.16
1959    6.75
1960    6.20
1961    5.68
1962    6.65
1963    9.63
1964    6.41
1965   10.15
1966    7.16
1967   10.20
1968    7.24
1969   11.05
1970   10.40
1971   10.37
1972    7.29
1973    8.58
1974   12.99
1975    9.35
1976    5.29
1977    3.11
1978    8.65
1979    6.67
1980    9.04
1981    6.21
1982   12.76
1983   15.29
1984   10.00
1985    6.47
1986    9.96
1987    5.86
1988    4.65
1989    6.13
1990    4.81
1991    4.21
1992    4.06
1993    8.54
1994    5.02
1995   12.89
1996   10.26
1997   10.82
1998   13.31
1999    9.80
2000    8.94
2001    5.76
2002    6.35
2003    8.21
2004    7.51
2005    8.49
2006   13.20
2007    6.19
2008    5.16
2009    5.78
2010    7.05
