Arkansas River at Canon City, CO
Arkansas River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = undepleted flow record from AMEC Earth and Environmental, Boulder, CO
Recon Interval: 1685-1987		
Observed Interval: 1889-1894; 1896-1987		
PI: C. Woodhouse
Reference: n/a		
URL: n/a

==========		
Year    Recon   Observed
1685    174885     -9999    
1686    390869     -9999    
1687    534770     -9999    
1688    673610     -9999    
1689    667176     -9999    
1690    283775     -9999    
1691    300280     -9999    
1692    438817     -9999    
1693    535621     -9999    
1694    506049     -9999    
1695    362945     -9999    
1696    455265     -9999    
1697    640565     -9999    
1698    651343     -9999    
1699    704882     -9999    
1700    398617     -9999    
1701    677145     -9999    
1702    214823     -9999    
1703    394228     -9999    
1704    423184     -9999    
1705    689594     -9999    
1706    503043     -9999    
1707    115316     -9999    
1708    338496     -9999    
1709    444291     -9999    
1710    579757     -9999    
1711    578680     -9999    
1712    580127     -9999    
1713    480078     -9999    
1714    518315     -9999    
1715    606496     -9999    
1716    488262     -9999    
1717    586071     -9999    
1718    558766     -9999    
1719    738049     -9999    
1720    694263     -9999    
1721    539614     -9999    
1722    715722     -9999    
1723    222902     -9999    
1724    514897     -9999    
1725    519490     -9999    
1726    572100     -9999    
1727    554120     -9999    
1728    686489     -9999    
1729    320516     -9999    
1730    642919     -9999    
1731    505135     -9999    
1732    442898     -9999    
1733    423726     -9999    
1734    498793     -9999    
1735    426632     -9999    
1736    481732     -9999    
1737    290923     -9999    
1738    503492     -9999    
1739    564561     -9999    
1740    392146     -9999    
1741    556664     -9999    
1742    403635     -9999    
1743    636557     -9999    
1744    572366     -9999    
1745    480485     -9999    
1746    454821     -9999    
1747    625441     -9999    
1748    313744     -9999    
1749    686881     -9999    
1750    327206     -9999    
1751    467484     -9999    
1752    449109     -9999    
1753    546217     -9999    
1754    716735     -9999    
1755    442311     -9999    
1756    354130     -9999    
1757    534714     -9999    
1758    540112     -9999    
1759    437450     -9999    
1760    513760     -9999    
1761    534414     -9999    
1762    571772     -9999    
1763    344008     -9999    
1764    548708     -9999    
1765    379705     -9999    
1766    658915     -9999    
1767    472877     -9999    
1768    707050     -9999    
1769    536513     -9999    
1770    343163     -9999    
1771    565049     -9999    
1772    412685     -9999    
1773    317670     -9999    
1774    523275     -9999    
1775    474941     -9999    
1776    329736     -9999    
1777    392967     -9999    
1778    441128     -9999    
1779    356141     -9999    
1780    437346     -9999    
1781    401869     -9999    
1782    321019     -9999    
1783    601109     -9999    
1784    558479     -9999    
1785    519270     -9999    
1786    424756     -9999    
1787    712496     -9999    
1788    420062     -9999    
1789    337164     -9999    
1790    652784     -9999    
1791    593411     -9999    
1792    694034     -9999    
1793    438227     -9999    
1794    444118     -9999    
1795    366963     -9999    
1796    556537     -9999    
1797    577619     -9999    
1798    212244     -9999    
1799    544860     -9999    
1800    578332     -9999    
1801    536790     -9999    
1802    538669     -9999    
1803    460893     -9999    
1804    347156     -9999    
1805    455212     -9999    
1806    420067     -9999    
1807    457312     -9999    
1808    485159     -9999    
1809    525370     -9999    
1810    472995     -9999    
1811    561651     -9999    
1812    521850     -9999    
1813    487894     -9999    
1814    485904     -9999    
1815    551511     -9999    
1816    527729     -9999    
1817    551437     -9999    
1818    499345     -9999    
1819    492240     -9999    
1820    464937     -9999    
1821    496920     -9999    
1822    432709     -9999    
1823    486288     -9999    
1824    237581     -9999    
1825    428408     -9999    
1826    576462     -9999    
1827    428693     -9999    
1828    676779     -9999    
1829    398175     -9999    
1830    452400     -9999    
1831    629497     -9999    
1832    607065     -9999    
1833    360616     -9999    
1834    273139     -9999    
1835    470112     -9999    
1836    481677     -9999    
1837    655676     -9999    
1838    652741     -9999    
