Canadian River near Sanchez, NM
Arkansas River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = flow record from New Mexico Interstate Stream Commission
Recon Interval: 1604-1997		
Observed Interval: 1937-1997		
PI: C. Woodhouse
Reference: n/a		
URL: http://treeflow.info/riogr/canadian.html

==========
Year     Recon  Observed
1604    340027     -9999     
1605    183800     -9999     
1606    140169     -9999   
1607     92688     -9999   
1608     89588     -9999   
1609     90823     -9999   
1610    343729     -9999   
1611    137194     -9999   
1612     53286     -9999   
1613    248421     -9999   
1614    160554     -9999   
1615    214258     -9999   
1616     71571     -9999   
1617    274943     -9999   
1618    412565     -9999   
1619    242968     -9999   
1620    208476     -9999   
1621    157914     -9999   
1622     89137     -9999   
1623     90386     -9999   
1624     99257     -9999   
1625     26179     -9999   
1626     27100     -9999   
1627     72830     -9999   
1628     35276     -9999   
1629     84872     -9999   
1630     89934     -9999   
1631     40885     -9999   
1632     53108     -9999   
1633     68745     -9999   
1634    125344     -9999   
1635    125256     -9999   
1636     69611     -9999   
1637    177397     -9999   
1638     79331     -9999   
1639    474630     -9999   
1640    164427     -9999   
1641     49888     -9999   
1642    137413     -9999   
1643    144626     -9999   
1644    212436     -9999   
1645     53954     -9999   
1646     66745     -9999   
1647    140484     -9999   
1648     32359     -9999   
1649    188738     -9999   
1650    102827     -9999   
1651    295103     -9999   
1652     72728     -9999   
1653     88385     -9999   
1654     22318     -9999   
1655    815821     -9999   
1656    113039     -9999   
1657    135981     -9999   
1658     50504     -9999   
1659    155850     -9999   
1660    210742     -9999   
1661    165981     -9999   
1662    118623     -9999   
1663     42838     -9999   
1664     27661     -9999   
1665     57182     -9999   
1666     50587     -9999   
1667     65651     -9999   
1668     23088     -9999   
1669     65383     -9999   
1670     43326     -9999   
1671    107638     -9999   
1672    109455     -9999   
1673    120900     -9999   
1674    119662     -9999   
1675     44269     -9999   
1676     57786     -9999   
1677    178726     -9999   
1678    378977     -9999   
1679    138095     -9999   
1680    313616     -9999   
1681     88999     -9999   
1682     36829     -9999   
1683    174062     -9999   
1684     19630     -9999   
1685     27367     -9999   
1686     42226     -9999   
1687     49006     -9999   
1688     49575     -9999   
1689    214130     -9999   
1690     66273     -9999   
1691     89949     -9999   
1692    145449     -9999   
1693    166770     -9999   
1694     20307     -9999   
1695     40072     -9999   
1696     30075     -9999   
1697     45524     -9999   
1698     66781     -9999   
1699     33403     -9999   
1700     35282     -9999   
1701    177924     -9999   
1702    128222     -9999   
1703    160263     -9999   
1704     58854     -9999   
1705     77358     -9999   
1706     96790     -9999   
1707     57681     -9999   
1708     96257     -9999   
1709     53133     -9999   
1710    195556     -9999   
1711    152171     -9999   
1712    207453     -9999   
1713    242190     -9999   
1714     43349     -9999   
1715     51278     -9999   
1716     36447     -9999   
1717     62860     -9999   
1718     84634     -9999   
1719     46696     -9999   
1720    718001     -9999   
1721    265028     -9999   
1722     53363     -9999   
1723     73215     -9999   
1724    117592     -9999   
1725    111164     -9999   
1726    111445     -9999   
1727    101845     -9999   
1728     77159     -9999   
1729     46635     -9999   
1730     23259     -9999   
1731     66825     -9999   
1732     83619     -9999   
1733     45696     -9999   
1734    181751     -9999   
1735     38983     -9999   
1736     66962     -9999   
1737     23439     -9999   
1738     27348     -9999   
1739     66738     -9999   
1740     50186     -9999   
1741     62864     -9999   
1742     37425     -9999   
1743    141399     -9999   
1744     64701     -9999   
1745     63622     -9999   
1746    414111     -9999   
1747    499960     -9999   
1748     30683     -9999   
1749    149162     -9999   
1750     35818     -9999   
1751     85058     -9999   
1752     33575     -9999   
1753    303493     -9999   
1754    215562     -9999   
1755    256922     -9999   
1756     58376     -9999   
1757     38951     -9999   
1758    156978     -9999   
1759     59276     -9999   
1760    161451     -9999   
1761    333848     -9999   
1762    168201     -9999   
1763     60668     -9999   
1764    155143     -9999   
1765     71763     -9999   
1766    226487     -9999   
1767     33730     -9999   
1768    285128     -9999   
1769    194252     -9999   
1770    198414     -9999   
1771    420751     -9999   
1772     44934     -9999   
1773     21110     -9999   
1774     42144     -9999   
1775     31582     -9999   
1776     48239     -9999   
1777     51061     -9999   
1778     23772     -9999   
1779    108579     -9999   
1780     34405     -9999   
1781     58284     -9999   
1782    119141     -9999   
1783    154544     -9999   
1784    216812     -9999   
1785    146145     -9999   
1786     97267     -9999   
1787    103508     -9999   
1788     80479     -9999   
1789     22988     -9999   
1790    223878     -9999   
1791    137419     -9999   
1792    195006     -9999   
1793    179605     -9999   
1794    172733     -9999   
1795     70466     -9999   
1796     51411     -9999   
1797    221856     -9999   
1798     45429     -9999   
1799     85246     -9999   
1800    143628     -9999   
1801     39812     -9999   
1802     58973     -9999   
1803     87182     -9999   
1804     62773     -9999   
1805     23257     -9999   
1806     38734     -9999   
1807    150869     -9999   
1808    191545     -9999   
1809     76392     -9999   
1810     53207     -9999   
1811     62023     -9999   
1812     58630     -9999   
1813     43937     -9999   
1814     76447     -9999   
1815     56889     -9999   
