Colorado River at Lees Ferry, AZ (Meko)
Upper Colorado River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = natural flow record from US Bureau of Reclamation
Recon Interval: 762-2005	
Observed Interval: 1906-2004
PI: D. Meko
Reference: 	Meko, D.M., C.A. Woodhouse, C.H. Baisan, T. Knight, J.J. Lukas, 
M.K. Hughes, and M.W. Salzer. 2007. Medieval drought in the upper Colorado 
River Basin. Geophysical Research Letters, Vol. 34, L10705	
URL: http://treeflow.info/upco/coloradoleesmeko.html
Add'l Info: http://www.ncdc.noaa.gov/paleo/pubs/meko2007/meko2007.html 	 
           
==========              
Year	   Recon  Observed
 762  16355515     -9999  
 763  13185239     -9999  
 764  12138949     -9999  
 765  12685643     -9999  
 766  16660257     -9999  
 767  14375547     -9999  
 768  16546519     -9999  
 769  16484271     -9999  
 770  13488922     -9999  
 771  14011105     -9999  
 772  18114926     -9999  
 773  15886543     -9999  
 774  12322111     -9999  
 775  15028307     -9999  
 776  19109841     -9999  
 777  16876598     -9999  
 778  15418937     -9999  
 779  14503654     -9999  
 780  17182219     -9999  
 781  13421825     -9999  
 782  16320399     -9999  
 783  18145684     -9999  
 784  24311361     -9999  
 785  17915230     -9999  
 786   8763345     -9999  
 787  15618444     -9999  
 788  17226160     -9999  
 789  17103401     -9999  
 790  14332849     -9999  
 791  13372094     -9999  
 792  10659969     -9999  
 793  13523559     -9999  
 794  11755645     -9999  
 795  18336644     -9999  
 796  18024649     -9999  
 797  11009997     -9999  
 798  15936629     -9999  
 799  12208650     -9999  
 800  17259195     -9999  
 801  21156703     -9999  
 802  20099027     -9999  
 803  21101838     -9999  
 804  17055224     -9999  
 805  13353297     -9999  
 806  12959347     -9999  
 807  11327593     -9999  
 808  14091860     -9999  
 809  10406327     -9999  
 810  18500782     -9999  
 811  18471774     -9999  
 812  14237891     -9999  
 813  15618277     -9999  
 814  14161519     -9999  
 815   8279002     -9999  
 816  15709495     -9999  
 817  12954139     -9999  
 818  10920694     -9999  
 819   8307854     -9999  
 820  19628315     -9999  
 821  19860049     -9999  
 822  13059689     -9999  
 823   4858370     -9999  
 824  11685092     -9999  
 825  12037829     -9999  
 826  15763553     -9999  
 827  12799283     -9999  
 828  12232160     -9999  
 829  11532311     -9999  
 830  10424345     -9999  
 831  15142170     -9999  
 832  16931053     -9999  
 833  15022092     -9999  
 834  12336408     -9999  
 835   9842892     -9999  
 836  15108697     -9999  
 837  16851325     -9999  
 838  16257653     -9999  
 839  12193651     -9999  
 840   8886817     -9999  
 841  12806811     -9999  
 842  14201491     -9999  
 843  16738425     -9999  
 844  16901847     -9999  
 845  14188653     -9999  
 846  14097871     -9999  
 847  12497697     -9999  
 848  10492380     -9999  
 849  11760590     -9999  
 850  19028950     -9999  
 851  16344786     -9999  
 852  13484887     -9999  
 853  15370852     -9999  
 854  17130849     -9999  
 855  14636839     -9999  
 856  12471662     -9999  
 857  15173940     -9999  
 858  17963000     -9999  
 859  15214938     -9999  
 860  10727587     -9999  
 861  13229587     -9999  
 862  12762777     -9999  
 863  12188112     -9999  
 864  14672803     -9999  
 865  14264453     -9999  
 866  12753706     -9999  
 867   9350241     -9999  
 868  15138015     -9999  
 869  14804630     -9999  
 870  15031184     -9999  
 871  14321444     -9999  
 872  13726672     -9999  
 873   9956939     -9999  
 874   7487464     -9999  
 875  10257692     -9999  
 876  16813319     -9999  
 877  17794538     -9999  
 878  13413787     -9999  
 879  14150230     -9999  
 880  12475872     -9999  
 881  13921835     -9999  
 882  14007485     -9999  
 883  11451756     -9999  
 884   9265774     -9999  
 885  15343966     -9999  
 886  18819479     -9999  
 887  20638697     -9999  
 888  16983702     -9999  
 889  11278569     -9999  
 890  13516725     -9999  
 891   9481251     -9999  
 892  15321382     -9999  
 893  16147989     -9999  
 894  16947113     -9999  
 895  16981406     -9999  
 896  19949459     -9999  
 897  13983532     -9999  
 898  13187246     -9999  
 899  19610235     -9999  
 900  15192137     -9999  
 901  12674597     -9999  
 902  11714415     -9999  
 903  10930496     -9999  
 904  12982115     -9999  
 905  15945619     -9999  
 906   9959861     -9999  
 907  11489422     -9999  
 908  17576552     -9999  
 909  13318833     -9999  
 910  12085905     -9999  
 911  17923033     -9999  
 912  17787123     -9999  
 913  14849548     -9999  
 914  15064765     -9999  
 915  12891388     -9999  
 916  13316244     -9999  
 917  14935387     -9999  
 918  15659161     -9999  
 919  15247500     -9999  
 920   9500506     -9999  
 921  19106196     -9999  
 922  15906623     -9999  
 923  16086271     -9999  
 924   8208759     -9999  
 925  13794313     -9999  
 926  19991100     -9999  
 927  17804970     -9999  
 928  17003065     -9999  
 929  18796579     -9999  
 930  12157849     -9999  
 931  17956098     -9999  
 932  17050192     -9999  
 933  12155107     -9999  
 934  11146973     -9999  
 935  16797857     -9999  
 936  14433986     -9999  
 937  14056929     -9999  
 938  16633077     -9999  
 939  10040185     -9999  
 940  15915509     -9999  
 941  12734409     -9999  
 942  16152948     -9999  
 943  15638433     -9999  
 944  11294867     -9999  
 945  16339827     -9999  
 946  22508201     -9999  
 947  16805647     -9999  
 948  15425356     -9999  
 949  13016335     -9999  
 950  16090789     -9999  
 951  14405340     -9999  
 952  14062005     -9999  
 953   8623809     -9999  
 954  12268518     -9999  
 955  13972330     -9999  
 956  12159522     -9999  
 957  10128590     -9999  
 958  15733651     -9999  
 959  16292903     -9999  
 960  16610628     -9999  
 961  13182320     -9999  
 962  15880912     -9999  
 963  14910857     -9999  
 964  15386764     -9999  
 965  17738236     -9999  
 966  18828385     -9999  
 967  14812504     -9999  
 968  12060472     -9999  
 969  16567639     -9999  
 970  14118469     -9999  
 971  10791315     -9999  
 972  12156413     -9999  
 973  19434828     -9999  
 974  18255218     -9999  
 975  12277885     -9999  
 976  12139513     -9999  
 977  13312977     -9999  
 978  12048300     -9999  
 979  10203405     -9999  
 980   9319139     -9999  
 981  10766232     -9999  
 982  14327884     -9999  
 983  13264517     -9999  
 984  12546348     -9999  
 985  16923564     -9999  
 986  16440714     -9999  
 987  20229089     -9999  
 988  21206327     -9999  
 989  23292621     -9999  
 990  16481867     -9999  
 991  10080641     -9999  
 992   9671646     -9999  
 993   6589160     -9999  
 994  18068321     -9999  
 995  19885739     -9999  
 996  21063573     -9999  
 997  17220991     -9999  
 998  15356086     -9999  
 999  16544211     -9999  
1000  14877797     -9999  
1001  10501887     -9999  
1002  11978694     -9999  
1003  12769884     -9999  
1004  13990495     -9999  
1005   9461485     -9999  
1006  14784258     -9999  
1007  20678460     -9999  
1008  17503414     -9999  
1009  12308213     -9999  
1010   9294206     -9999  
1011  13714618     -9999  
1012  10262843     -9999  
1013  13820951     -9999  
1014  14487551     -9999  
1015  16747214     -9999  
1016  17670173     -9999  
1017  17640601     -9999  
1018  10394735     -9999  
1019   9409336     -9999  
1020  18105935     -9999  
1021  18124999     -9999  
1022  15094283     -9999  
1023  12836840     -9999  
1024  18894851     -9999  
1025  18162618     -9999  
1026  14221888     -9999  
1027  13669327     -9999  
1028  12399862     -9999  
1029  13100963     -9999  
1030  17374256     -9999  
1031  15105586     -9999  
1032  13407319     -9999  
1033  15635576     -9999  
1034  19154861     -9999  
1035  12506314     -9999  
1036  11825692     -9999  
1037  14953658     -9999  
1038  11931908     -9999  
1039  12699595     -9999  
1040  11391158     -9999  
1041  11175312     -9999  
1042  14353845     -9999  
1043  10460812     -9999  
1044  14073595     -9999  
1045  15518514     -9999  
1046  13538687     -9999  
1047  18058858     -9999  
1048  14644674     -9999  
1049  12993821     -9999  
1050  15669499     -9999  
1051  16674473     -9999  
1052  16422729     -9999  
1053  14840857     -9999  
1054  17767180     -9999  
1055  10111888     -9999  
1056  15172421     -9999  
1057  15862496     -9999  
1058  15871943     -9999  
1059  12018201     -9999  
1060  13666835     -9999  
1061  12897314     -9999  
1062  13533262     -9999  
1063  18466066     -9999  
1064  19341366     -9999  
1065  19624458     -9999  
1066  11546582     -9999  
1067   8830444     -9999  
1068   8822977     -9999  
1069  15462789     -9999  
1070  13529410     -9999  
1071  11505838     -9999  
1072  11759955     -9999  
1073  13982372     -9999  
1074  13804826     -9999  
1075  13496526     -9999  
1076  14974205     -9999  
1077  17855211     -9999  
1078  17233997     -9999  
1079  18602513     -9999  
1080  19733386     -9999  
1081  15381384     -9999  
1082  17842463     -9999  
1083  17090497     -9999  
1084  19773386     -9999  
1085  12375599     -9999  
1086  11639526     -9999  
1087  21748387     -9999  
1088  18772575     -9999  
1089  12179030     -9999  
1090   6672708     -9999  
1091  14991728     -9999  
1092  14156860     -9999  
1093  14625812     -9999  
1094  13172326     -9999  
1095  15571227     -9999  
1096  17213059     -9999  
1097  12530193     -9999  
1098  11045975     -9999  
1099  14272185     -9999  
1100  13242872     -9999  
1101  13674020     -9999  
1102  19402738     -9999  
1103  18241411     -9999  
1104  12596279     -9999  
1105  12877861     -9999  
1106  13866734     -9999  
1107  14982699     -9999  
1108  12612249     -9999  
1109  13986848     -9999  
1110  17284941     -9999  
1111  14691908     -9999  
1112  16380601     -9999  
1113  16754696     -9999  
1114  14626886     -9999  
1115  22026363     -9999  
1116  22727608     -9999  
1117  24194926     -9999  
1118  15198467     -9999  
1119  17343542     -9999  
1120  16072275     -9999  
1121  11264540     -9999  
1122  12132127     -9999  
1123  12700462     -9999  
1124  11704944     -9999  
1125  10741073     -9999  
1126   9748065     -9999  
1127  15502448     -9999  
1128  18582919     -9999  
1129  18488251     -9999  
1130  10655159     -9999  
1131   9560845     -9999  
1132  11699048     -9999  
1133  16547682     -9999  
1134  13819333     -9999  
1135  14061348     -9999  
1136  14713897     -9999  
1137  15876296     -9999  
1138  10787179     -9999  
1139  12415081     -9999  
1140  10782048     -9999  
1141  13924803     -9999  
