Green River near Greendale, UT		
Upper Colorado River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Bureau of Reclamation		
Recon Interval: 1615-1999		
Observed Interval: 1914-1995		
PI: F. A. Barnett		
Reference: Barnett, F. A. 2007. Upper Green River Basin Streamflow 
Reconstructions and Drought Variability. M.S. Thesis, Department of Civil and 
Architectural Engineering, University of Wyoming, 118 pp.
URL: http://treeflow.info/upco/greengreendale.html 		

==========
Year   Recon    Observed
1615   1630972     -9999          
1616   1378601     -9999   
1617   2361449     -9999   
1618   2111878     -9999   
1619   1791887     -9999   
1620   1761882     -9999   
1621   2366999     -9999   
1622   1629779     -9999   
1623   1469725     -9999   
1624   1896260     -9999   
1625   1238270     -9999   
1626    859408     -9999   
1627   1987658     -9999   
1628   2160178     -9999   
1629   1885059     -9999   
1630   1424019     -9999   
1631   1547397     -9999   
1632   1185377     -9999   
1633   2406032     -9999   
1634   1606656     -9999   
1635   1468481     -9999   
1636   1962837     -9999   
1637   1447440     -9999   
1638   1576299     -9999   
1639   2094455     -9999   
1640   1439511     -9999   
1641   1812243     -9999   
1642   2202713     -9999   
1643   1027606     -9999   
1644   2267683     -9999   
1645   1238580     -9999   
1646    594846     -9999   
1647   2528863     -9999   
1648   1671454     -9999   
1649   2573326     -9999   
1650   2128849     -9999   
1651   1856516     -9999   
1652   1751826     -9999   
1653    968435     -9999   
1654   1831742     -9999   
1655   2708384     -9999   
1656   1169956     -9999   
1657    796284     -9999   
1658   1178387     -9999   
1659   1606839     -9999   
1660   1980155     -9999   
1661   2029637     -9999   
1662   2254506     -9999   
1663   2355087     -9999   
1664   1860788     -9999   
1665   1538911     -9999   
1666   1891209     -9999   
1667   1148575     -9999   
1668   1468506     -9999   
1669   1978744     -9999   
1670   1723228     -9999   
1671   1790892     -9999   
1672   2585168     -9999   
1673   2574082     -9999   
1674   2369323     -9999   
1675   1633782     -9999   
1676   3259243     -9999   
1677   2655494     -9999   
1678   1719498     -9999   
1679   1706712     -9999   
1680   3241806     -9999   
1681   1834262     -9999   
1682   1721700     -9999   
1683   2843729     -9999   
1684   1520962     -9999   
1685    392043     -9999   
1686   1185306     -9999   
1687   2550460     -9999   
1688   2553939     -9999   
1689   2172592     -9999   
1690   1136175     -9999   
1691   2516432     -9999   
1692   2431193     -9999   
1693   2092084     -9999   
1694   2570443     -9999   
