Green River near Green River, WY	 (Barnett)	
Upper Colorado River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Bureau of Reclamation		
Recon Interval: 1615-1999		
Observed Interval: 1914-1995		
PI: F. A. Barnett		
Reference: Barnett, F. A. 2007. Upper Green River Basin Streamflow 
Reconstructions and Drought Variability. M.S. Thesis, Department of Civil and 
Architectural Engineering, University of Wyoming, 118 pp.
URL: http://treeflow.info/upco/greengreenrivwybarnett.html 		

==========
Year   Recon    Observed
1615   1359177     -9999             
1616   1066749     -9999      
1617   1683944     -9999      
1618   1315435     -9999      
1619   1516003     -9999      
1620   1241880     -9999      
1621   1553438     -9999      
1622   1109943     -9999      
1623   1239029     -9999      
1624   1508225     -9999      
1625    876306     -9999      
1626    878058     -9999      
1627   1532462     -9999      
1628   1528548     -9999      
1629   1099973     -9999      
1630   1001309     -9999      
1631   1029432     -9999      
1632    711433     -9999      
1633   1777979     -9999      
1634   1309233     -9999      
1635   1259673     -9999      
1636   1306518     -9999      
1637   1058029     -9999      
1638   1255341     -9999      
1639   1431503     -9999      
1640   1239744     -9999      
1641   1425140     -9999      
1642   1564338     -9999      
1643    827621     -9999      
1644   1466438     -9999      
1645    990094     -9999      
1646    782110     -9999      
1647   1623199     -9999      
1648   1083396     -9999      
1649   1776437     -9999      
1650   1485139     -9999      
1651   1629726     -9999      
1652   1166955     -9999      
1653    948294     -9999      
1654   1180065     -9999      
1655   1737683     -9999      
1656    943579     -9999      
1657    692432     -9999      
1658   1066081     -9999      
1659   1207844     -9999      
1660   1471942     -9999      
1661   1543419     -9999      
1662   1561322     -9999      
1663   1473744     -9999      
1664   1326811     -9999      
1665   1128289     -9999      
1666   1473806     -9999      
1667    930310     -9999      
1668   1001456     -9999      
1669   1352162     -9999      
1670   1343675     -9999      
1671   1390788     -9999      
1672   1711741     -9999      
1673   1911620     -9999      
1674   1634087     -9999      
1675   1185460     -9999      
1676   2257145     -9999      
1677   1893734     -9999      
1678   1473125     -9999      
1679   1302556     -9999      
1680   2135579     -9999      
1681   1108384     -9999      
1682   1062113     -9999      
1683   1925466     -9999      
1684   1150442     -9999      
1685    551468     -9999      
1686   1009456     -9999      
1687   1651351     -9999      
1688   1556215     -9999      
1689   1623546     -9999      
1690    918055     -9999      
1691   1633077     -9999      
1692   1722166     -9999      
1693   1307335     -9999      
1694   1639822     -9999      
1695    579178     -9999      
1696   1261925     -9999      
1697   1795087     -9999      
1698   1333058     -9999      
1699   1904008     -9999      
1700   1426171     -9999      
1701   1952976     -9999      
1702   1882232     -9999      
1703    878153     -9999      
1704    728432     -9999      
1705   1469350     -9999      
1706    759593     -9999      
1707   1364694     -9999      
1708   1048390     -9999      
1709   1445270     -9999      
1710   1244873     -9999      
1711   1134657     -9999      
1712   1524609     -9999      
1713   1243337     -9999      
1714   1277905     -9999      
1715   1297801     -9999      
