,
,WY Lees Ferry Natural Flow
,(AF)
1906,18214678
1907,21234305
1908,11773952
1909,21841427
1910,14736670
1911,15125081
1912,19082127
1913,14472192
1914,21066767
1915,14137603
1916,19187542
1917,23849259
1918,15750724
1919,12951469
1920,21927976
1921,22703070
1922,18669586
1923,18343663
1924,14639094
1925,13410821
1926,16114020
1927,18551860
1928,17577859
1929,21407051
1930,15283505
1931,8631719
1932,17545522
1933,12130063
1934,6627514
1935,12280022
1936,14485382
1937,14161753
1938,17920064
1939,11718056
1940,9380279
1941,18319340
1942,19428259
1943,13624479
1944,15512509
1945,13912713
1946,11062728
1947,15916279
1948,15880189
1949,16662172
1950,13317921
1951,12485833
1952,20900043
1953,11204001
1954,8368141
1955,9795470
1956,11505097
1957,20159803
1958,16899937
1959,9232537
1960,11974847
1961,9247778
1962,17769350
1963,9169052
1964,10355450
1965,18433671
1966,11139763
1967,11786991
1968,13307287
1969,14543476
1970,15040894
1971,14867363
1972,12398388
1973,19270770
1974,12965334
1975,16563774
1976,11199060
1977,5417868
1978,14870955
1979,17601101
1980,17305967
1981,8620193
1982,16696939
1983,23697872
1984,24182778
1985,21024590
1986,22335681
1987,16543449
1988,11622839
1989,9507957
1990,8945318
1991,12317705
1992,11066553
1993,18663096
1994,10570318
1995,19854901
1996,14026588
1997,21164104
1998,16956560
1999,16414579
2000,10510093
2001,11025809
2002,5871677
2003,10425143
2004,9417446
2005,17070158
2006,12596918
2007,12538073
2008,16271388
2009,14273798
2010,12302267
2011,20066140
2012,8193971
2013,9331000
2014,14143000
2015,13851000
,
1906-2012 average,14870319.3084112
,
1906-2015 average,14804083.3272727
