Little Popo Agie River near Lander, WY		
Upper Missouri River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = USGS gage record 		
Recon Interval: 1560-1999		
Observed Interval: 1946-1999		
PI: T. Watson		
Reference: Watson, Thomas A., F. Anthony Barnett, Stephen T. Gray, and Glenn A. 
Tootle, 2009. Reconstructed Streamflows for the Headwaters of the Wind River,
Wyoming, United States. Journal of the American Water Resources
Association (JAWRA) 45(1):224-236.
URL: http://treeflow.info/upco/littlepopoagie.html
Note: This is the PP1/3 model from Watson et al. 2009 		

==========
Year     Recon  Observed
1560     64284     -9999     
1561     69031     -9999     
1562     31150     -9999     
1563     27200     -9999     
1564     73549     -9999     
1565     73442     -9999     
1566     44167     -9999     
1567     46675     -9999     
1568     31549     -9999     
1569     23332     -9999     
1570     60762     -9999     
1571     54239     -9999     
1572     46461     -9999     
1573     51049     -9999     
1574     37350     -9999     
1575     53586     -9999     
1576     32283     -9999     
1577     70908     -9999     
1578     57822     -9999     
1579     26992     -9999     
1580     26117     -9999     
1581     56185     -9999     
1582     54511     -9999     
1583     64562     -9999     
1584     20342     -9999     
1585     46484     -9999     
1586     58665     -9999     
1587     31165     -9999     
1588     48533     -9999     
1589     54294     -9999     
1590     31222     -9999     
1591     35520     -9999     
1592     32415     -9999     
1593     51667     -9999     
1594     64429     -9999     
1595     52027     -9999     
1596     71946     -9999     
1597     37985     -9999     
1598     19806     -9999     
1599     56325     -9999     
1600     26377     -9999     
1601     63143     -9999     
1602     57743     -9999     
1603     69192     -9999     
1604     67737     -9999     
1605     76357     -9999     
1606     34564     -9999     
1607     19347     -9999     
1608     48860     -9999     
1609     55021     -9999     
1610     47895     -9999     
1611     47212     -9999     
1612     43150     -9999     
1613     48732     -9999     
1614     54638     -9999     
1615     57843     -9999     
1616     53761     -9999     
1617     67546     -9999     
1618     62869     -9999     
1619     67673     -9999     
1620     48516     -9999     
1621     64006     -9999     
1622     30711     -9999     
1623     58518     -9999     
1624     52121     -9999     
1625     57529     -9999     
1626     33342     -9999     
1627     27917     -9999     
1628     43009     -9999     
1629     57658     -9999     
1630     26722     -9999     
1631     45408     -9999     
1632     44447     -9999     
1633     81345     -9999     
1634     54939     -9999     
1635     39356     -9999     
1636     46654     -9999     
1637     40067     -9999     
1638     47324     -9999     
1639     61414     -9999     
1640     54102     -9999     
1641     39508     -9999     
1642     55464     -9999     
1643     31320     -9999     
1644     66791     -9999     
1645     28072     -9999     
1646     44367     -9999     
1647     50392     -9999     
1648     38320     -9999     
1649     67501     -9999     
1650     46515     -9999     
1651     52299     -9999     
1652     32636     -9999     
1653     18471     -9999     
1654     44218     -9999     
1655     76177     -9999     
1656     36875     -9999     
1657     36055     -9999     
1658     32166     -9999     
1659     48519     -9999     
1660     38788     -9999     
1661     76568     -9999     
1662     55090     -9999     
1663     70039     -9999     
1664     58560     -9999     
1665     16470     -9999     
1666     46121     -9999     
1667     32740     -9999     
1668     32703     -9999     
1669     62945     -9999     
1670     42224     -9999     
1671     44170     -9999     
1672     55651     -9999     
1673     69727     -9999     
1674     56561     -9999     
1675     53808     -9999     
1676     84246     -9999     
1677     28060     -9999     
1678     66184     -9999     
1679     40670     -9999     
1680     81361     -9999     
1681     34820     -9999     
1682     40817     -9999     
1683     67610     -9999     
1684     45498     -9999     
1685     12961     -9999     
1686     20584     -9999     
1687     64802     -9999     
1688     61653     -9999     
1689     40167     -9999     
1690     39812     -9999     
1691     56099     -9999     
1692     77183     -9999     
1693     39911     -9999     
1694     67134     -9999     
1695     37969     -9999     
1696     51167     -9999     
1697     34004     -9999     
1698     42504     -9999     
1699     61307     -9999     
1700     63760     -9999     
1701     83424     -9999     
1702     67090     -9999     
1703     44110     -9999     
1704     40104     -9999     
1705     51097     -9999     
1706     23888     -9999     
1707     50996     -9999     
1708     18338     -9999     
1709     58383     -9999     
1710     51833     -9999     
1711     25250     -9999     
1712     52506     -9999     
1713     46937     -9999     
1714     38741     -9999     
1715     43017     -9999     
1716     49488     -9999     
1717     11052     -9999     
1718     45981     -9999     
1719     83218     -9999     
1720     67676     -9999     
1721     50999     -9999     
1722     32377     -9999     
1723     57826     -9999     
1724     50195     -9999     
1725     50691     -9999     
1726     87612     -9999     
1727     45630     -9999     
1728     44554     -9999     
1729     60329     -9999     
1730     31493     -9999     
1731     54591     -9999     
1732     30679     -9999     
1733     62390     -9999     
1734     53317     -9999     
1735     25557     -9999     
1736     18448     -9999     
1737     49305     -9999     
1738     30582     -9999     
1739     61699     -9999     
1740     39926     -9999     
1741     56289     -9999     
1742     37100     -9999     
1743     42347     -9999     
1744     25135     -9999     
1745     49640     -9999     
1746     68373     -9999     
1747     69607     -9999     
1748     56010     -9999     
1749     37057     -9999     
1750     58594     -9999     
1751     57064     -9999     
1752     54010     -9999     
1753     55710     -9999     
1754     40260     -9999     
1755     40913     -9999     
1756     21778     -9999     
1757     39345     -9999     
1758     52743     -9999     
1759     38351     -9999     
1760     53513     -9999     
1761     67583     -9999     
1762     64726     -9999     
1763     37560     -9999     
1764     75496     -9999     
1765     44039     -9999     
1766     66534     -9999     
1767     52527     -9999     
1768     89290     -9999     
1769     60578     -9999     
1770     43890     -9999     
1771     64767     -9999     
1772     40647     -9999     
1773     41319     -9999     
1774     40279     -9999     
1775     57372     -9999     
1776     40399     -9999     
1777     51423     -9999     
1778     36011     -9999     
1779     39009     -9999     
1780     41495     -9999     
1781     42929     -9999     
1782     32469     -9999     
1783     40427     -9999     
1784     58155     -9999     
1785     44182     -9999     
1786     31234     -9999     
1787     63529     -9999     
1788     44728     -9999     
1789     27935     -9999     
1790     73948     -9999     
1791     51319     -9999     
1792     78919     -9999     
1793     38487     -9999     
1794     64300     -9999     
1795     35030     -9999     
1796     79009     -9999     
1797     72459     -9999     
1798     14763     -9999     
1799     69856     -9999     
1800     28307     -9999     
1801     38786     -9999     
1802     58338     -9999     
1803     49484     -9999     
1804     43493     -9999     
1805     29293     -9999     
1806     44370     -9999     
1807     43478     -9999     
1808     69455     -9999     
1809     34217     -9999     
1810     66751     -9999     
