Cache la Poudre River at Canyon Mouth, CO		
Platte River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in 1000 acre-feet		
Recon = reconstruction		
Observed = undepleted flow record from Northern Colorado Water Conservancy Dist.		
Recon Interval: 1615-1999		
Observed Interval: 1906-1999		
PI: C. Woodhouse
Reference: Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring 
  reconstructions of Colorado streamflow for water resource planning. 
  Climatic Change 78: 293-315.		
URL: http://treeflow.info/platte/poudre.html	
		
==========				
Year	   Recon  Observed
1615    347239     -9999  
1616    286607     -9999  
1617    395496     -9999  
1618    314670     -9999  
1619    340854     -9999  
1620    221876     -9999  
1621    478356     -9999  
1622    106509     -9999  
1623    266722     -9999  
1624    298640     -9999  
1625    147879     -9999  
1626    203008     -9999  
1627    201956     -9999  
1628    287492     -9999  
1629    271236     -9999  
1630    199752     -9999  
1631    237736     -9999  
1632    292924     -9999  
1633    364970     -9999  
1634    228794     -9999  
1635    298823     -9999  
1636    216159     -9999  
1637    223544     -9999  
1638    214214     -9999  
1639    359460     -9999  
1640    279797     -9999  
1641    300736     -9999  
1642    360559     -9999  
1643    342890     -9999  
1644    254598     -9999  
1645    107287     -9999  
1646    173399     -9999  
1647    373172     -9999  
1648    192797     -9999  
1649    351158     -9999  
1650    333263     -9999  
1651    336355     -9999  
1652    197912     -9999  
1653    160038     -9999  
1654     92728     -9999  
1655    538306     -9999  
1656    281985     -9999  
1657    348330     -9999  
1658    249688     -9999  
1659    356441     -9999  
1660    314670     -9999  
1661    332151     -9999  
1662    224838     -9999  
1663    276832     -9999  
1664    119486     -9999  
1665    256099     -9999  
1666    260499     -9999  
1667    106792     -9999  
1668    142320     -9999  
1669    286712     -9999  
1670    165816     -9999  
1671    182878     -9999  
1672    311261     -9999  
1673    353288     -9999  
1674    310672     -9999  
1675    234502     -9999  
1676    442223     -9999  
1677    348624     -9999  
1678    482972     -9999  
1679    200503     -9999  
1680    482998     -9999  
1681    333582     -9999  
1682    109538     -9999  
1683    354024     -9999  
1684    196049     -9999  
1685     62679     -9999  
1686    179696     -9999  
1687    375430     -9999  
1688    374456     -9999  
1689    298877     -9999  
1690    330894     -9999  
1691    366587     -9999  
1692    283644     -9999  
1693    311862     -9999  
1694    370170     -9999  
1695    268496     -9999  
1696    331380     -9999  
1697    295163     -9999  
1698    267782     -9999  
1699    292098     -9999  
1700    306480     -9999  
1701    406516     -9999  
1702    410063     -9999  
1703    251450     -9999  
1704    183570     -9999  
1705    364881     -9999  
1706    274864     -9999  
1707    250621     -9999  
1708    169613     -9999  
1709    206759     -9999  
1710    336534     -9999  
1711    300602     -9999  
1712    304112     -9999  
1713    255775     -9999  
1714    230665     -9999  
1715    340891     -9999  
1716    305132     -9999  
1717    228463     -9999  
1718    290726     -9999  
1719    397980     -9999  
1720    444044     -9999  
1721    287621     -9999  
1722    215093     -9999  
1723    217208     -9999  
1724    239592     -9999  
1725    341434     -9999  
1726    481045     -9999  
1727    269355     -9999  
1728    264860     -9999  
1729    184965     -9999  
1730    173015     -9999  
1731    325363     -9999  
1732    293747     -9999  
1733    312958     -9999  
1734    422092     -9999  
1735    201523     -9999  
1736    178946     -9999  
1737    256564     -9999  
1738    333343     -9999  
1739    358035     -9999  
1740    164239     -9999  
1741    351867     -9999  
1742    255461     -9999  
1743    391684     -9999  
1744    220873     -9999  
1745    306662     -9999  
1746    378468     -9999  
1747    360461     -9999  
1748    139950     -9999  
1749    394435     -9999  
1750    165357     -9999  
1751    358080     -9999  
1752    315000     -9999  
1753    350145     -9999  
1754    312433     -9999  
1755    245137     -9999  
1756    178174     -9999  
1757    192192     -9999  
1758    330373     -9999  
1759    169093     -9999  
1760    364410     -9999  
1761    380590     -9999  
1762    398821     -9999  
1763    164316     -9999  
1764    408004     -9999  
1765    207596     -9999  
1766    364806     -9999  
1767    221945     -9999  
1768    453129     -9999  
1769    307650     -9999  
1770    168415     -9999  
1771    342226     -9999  
1772    281732     -9999  
1773    203241     -9999  
1774    327313     -9999  
1775    295229     -9999  
1776    249652     -9999  
1777    183208     -9999  
1778    323246     -9999  
1779    302320     -9999  
1780    175629     -9999  
1781    242651     -9999  
1782    271078     -9999  
1783    290540     -9999  
1784    379660     -9999  
1785    368213     -9999  
1786    247656     -9999  
1787    429996     -9999  
1788    230179     -9999  
1789     78556     -9999  
1790    402139     -9999  
1791    317278     -9999  
1792    427792     -9999  
1793    275082     -9999  
1794    290790     -9999  
1795    301769     -9999  
1796    245255     -9999  
1797    443091     -9999  
1798     55283     -9999  
1799    426843     -9999  
1800    246724     -9999  
1801    172283     -9999  
1802    268153     -9999  
1803    321390     -9999  
1804    158077     -9999  
1805    185042     -9999  
1806    272552     -9999  
1807    262621     -9999  
1808    291042     -9999  
1809    195858     -9999  
1810    284091     -9999  
1811    335865     -9999  
1812    323147     -9999  
1813    235192     -9999  
1814    235318     -9999  
1815    308213     -9999  
1816    285024     -9999  
1817    267469     -9999  
1818    233083     -9999  
1819    278901     -9999  
1820    184220     -9999  
1821    400106     -9999  
1822    267609     -9999  
1823    286768     -9999  
1824    142909     -9999  
1825    252485     -9999  
1826    291424     -9999  
1827    278904     -9999  
1828    365335     -9999  
1829    235285     -9999  
1830    231380     -9999  
1831    313226     -9999  
1832    351910     -9999  
1833    346984     -9999  
1834    183201     -9999  
1835    313891     -9999  
1836    440097     -9999  
1837    468655     -9999  
1838    360966     -9999  
1839    437033     -9999  
1840    313480     -9999  
1841    360977     -9999  
1842    150080     -9999  
1843    446626     -9999  
1844    282101     -9999  
1845     74581     -9999  
1846    156923     -9999  
1847    115391     -9999  
1848    253194     -9999  
1849    385421     -9999  
1850    376569     -9999  
1851     81258     -9999  
1852    309210     -9999  
1853    386190     -9999  
1854    242191     -9999  
1855     89113     -9999  
1856    332017     -9999  
1857    282181     -9999  
1858    347474     -9999  
1859    305028     -9999  
1860    349126     -9999  
1861    125753     -9999  
1862    427080     -9999  
1863    203035     -9999  
1864    290954     -9999  
1865    308208     -9999  
1866    432840     -9999  
1867    475801     -9999  
1868    298931     -9999  
1869    285190     -9999  
1870    239558     -9999  
1871    115483     -9999  
1872    397269     -9999  
1873    283501     -9999  
1874    204995     -9999  
1875    244213     -9999  
1876    362864     -9999  
1877    277165     -9999  
1878    351158     -9999  
1879     97391     -9999  
1880    214765     -9999  
1881    278703     -9999  
1882    257233     -9999  
1883    285822     -9999  
1884    338318     -9999  
1885    356424     -9999  
1886    215256     -9999  
1887    147167     -9999  
1888    255975     -9999  
1889    285591     -9999  
1890    323009     -9999  
1891    318987     -9999  
1892    312881     -9999  
1893    180466     -9999  
1894    249526     -9999  
1895    396125     -9999  
1896    121482     -9999  
1897    374282     -9999  
1898    222412     -9999  
1899    247427     -9999  
1900    346268     -9999  
1901    235040     -9999  
1902    136000     -9999  
1903    405508     -9999  
1904    234331     -9999  
1905    359226     -9999  
1906    326227    300000
1907    362508    410000
1908    224409    290000
1909    400701    500000
1910    201213    290000
1911    254008    230000
1912    377992    350000
1913    270344    230000
1914    378288    410000
1915    262686    230000
1916    208746    270000
1917    427244    520000
1918    282918    320000
1919    150093    150000
1920    418698    410000
1921    404154    437000
1922    221619    199000
1923    365980    453000
1924    396373    481000
1925    132911    211000
1926    397246    428000
1927    297889    264000
1928    356917    325000
1929    259818    330000
1930    339306    227000
1931    261765    172000
1932    237237    232000
1933    284688    272000
1934    219881    127000
1935    243815    277000
1936    182540    263000
1937    259381    198000
1938    287843    358000
1939    243807    212000
1940    149721    149000
1941    348197    212000
1942    336110    360000
1943    345948    369000
1944    244410    236000
1945    254960    249000
1946    229684    203000
1947    356649    336000
1948    245812    226000
1949    326342    379000
1950    227824    205000
1951    308532    313729
