Rio Grande at Otowi Bridge, NM (NRCS flows)
Rio Grande Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = gaged flow record, corrected by NRCS to remove San Juan-Chama transfers
Recon Interval: 1450-2002	
Observed Interval: 1958-2000		
PI: D. Meko
Reference: n/a		
URL: http://treeflow.info/riogr/riograndeotowiNRCS.html	

==========
Year	   Recon  Observed
1450    579885     -9999   
1451   1302328     -9999   
1452    974246     -9999   
1453    916348     -9999   
1454    529892     -9999   
1455    443711     -9999   
1456    748433     -9999   
1457    687565     -9999   
1458   1147344     -9999   
1459    704433     -9999   
1460    495271     -9999   
1461    637122     -9999   
1462   1401222     -9999   
1463    903821     -9999   
1464    600946     -9999   
1465    656686     -9999
1466   1280669     -9999
1467   1286018     -9999
1468    977463     -9999
1469    723395     -9999
1470    969535     -9999
1471    530921     -9999
1472    637183     -9999
1473    760279     -9999
1474    787892     -9999
1475    471243     -9999
1476   1340499     -9999
1477   1094967     -9999
1478   1178000     -9999
1479    695139     -9999
1480    505947     -9999
1481    736699     -9999
1482    885349     -9999
1483    696015     -9999
1484   2323089     -9999
1485   1585266     -9999
1486   1489178     -9999
1487    800751     -9999
1488    930492     -9999
1489   1002704     -9999
1490   1407212     -9999
1491   1894089     -9999
1492    855565     -9999
1493    616225     -9999
1494   1441873     -9999
1495    339580     -9999
1496    429283     -9999
1497    909710     -9999
1498   1759386     -9999
1499    650919     -9999
1500    340899     -9999
1501    784234     -9999
1502    940832     -9999
1503    934560     -9999
1504    972925     -9999
1505    604920     -9999
1506    354756     -9999
1507    968033     -9999
1508    842968     -9999
1509   1172645     -9999
1510    631771     -9999
1511   1125750     -9999
1512    954983     -9999
1513   1103706     -9999
1514   1525858     -9999
1515    599723     -9999
1516    577193     -9999
1517    725080     -9999
1518    771266     -9999
1519   1253159     -9999
1520   1109714     -9999
1521   1844798     -9999
1522    405065     -9999
1523   1126405     -9999
1524    792949     -9999
1525    753456     -9999
1526   1330788     -9999
1527   1096666     -9999
1528    544789     -9999
1529   1130781     -9999
1530   1073942     -9999
1531    722063     -9999
1532    440454     -9999
1533    921694     -9999
1534    881495     -9999
1535    855150     -9999
1536   1496849     -9999
1537   1042552     -9999
1538    487554     -9999
1539   1162909     -9999
1540   1267453     -9999
1541   1020948     -9999
1542    314422     -9999
1543    922230     -9999
1544    662377     -9999
1545    491588     -9999
1546   1105633     -9999
1547    763085     -9999
1548    960927     -9999
1549   1157960     -9999
1550   1124550     -9999
1551    492399     -9999
1552    786518     -9999
1553   1406666     -9999
1554    926801     -9999
1555   1200364     -9999
1556   1632838     -9999
1557   1376716     -9999
1558    411796     -9999
1559    749231     -9999
1560    923483     -9999
1561    742075     -9999
1562    612473     -9999
1563    759690     -9999
1564   1099008     -9999
1565   1412268     -9999
1566    816032     -9999
1567    549457     -9999
1568   1127497     -9999
1569   1178343     -9999
1570   1212528     -9999
1571    834108     -9999
1572   1094648     -9999
1573    393607     -9999
1574    480329     -9999
1575   1059157     -9999
1576    561519     -9999
1577   1241791     -9999
1578    841254     -9999
1579    502525     -9999
1580    396633     -9999
1581    651613     -9999
1582    715305     -9999
1583    544789     -9999
1584    354756     -9999
1585    497629     -9999
1586   1132427     -9999
1587    784462     -9999
1588   1363699     -9999
1589   1095710     -9999
1590    341263     -9999
1591    701298     -9999
1592    625676     -9999
1593    685436     -9999
1594   1708790     -9999
1595   1415146     -9999
1596   1195603     -9999
1597    886466     -9999
1598    360336     -9999
1599   1476385     -9999
1600    446689     -9999
1601    907244     -9999
1602   1035501     -9999
1603   1203277     -9999
1604   1338552     -9999
1605   1316928     -9999
1606   1113377     -9999
1607    480376     -9999
1608   1600864     -9999
1609    835484     -9999
1610   1855739     -9999
1611   1073733     -9999
1612    716207     -9999
1613   1373118     -9999
1614   1034999     -9999
1615   1317311     -9999
1616    793487     -9999
1617   1675815     -9999
1618   1513336     -9999
1619    902595     -9999
1620   1222205     -9999
1621   1325253     -9999
1622    527944     -9999
1623    446818     -9999
1624    521838     -9999
1625    472661     -9999
1626    625373     -9999
1627   1050770     -9999
1628    664757     -9999
1629    918572     -9999
1630   1229215     -9999
1631    487223     -9999
1632    480469     -9999
1633   1353689     -9999
1634    862644     -9999
1635   1115214     -9999
1636    758807     -9999
1637    797420     -9999
1638    625191     -9999
1639   1334923     -9999
1640   1365816     -9999
1641    774788     -9999
1642   1024517     -9999
1643   1004553     -9999
1644    916437     -9999
1645    401702     -9999
1646    975948     -9999
1647   1171395     -9999
1648    539847     -9999
1649   1081149     -9999
1650   1132646     -9999
1651   1390262     -9999
1652    570517     -9999
1653    739275     -9999
1654    306151     -9999
1655   2088115     -9999
1656    842560     -9999
1657    891810     -9999
1658    533293     -9999
1659    882693     -9999
1660   1190745     -9999
1661   1046196     -9999
1662    942841     -9999
1663    696015     -9999
1664    436289     -9999
1665    958229     -9999
1666    537237     -9999
1667    638111     -9999
1668    486373     -9999
1669   1171168     -9999
