Salinas River at Paso Robles, CA	
California		
Mean annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in cubic feet per second (CFS)		
Recon = reconstruction		
Observed = gage record from USGS	
Recon Interval: 1409-2003		
Observed Interval: 1940-2003 (1966-1969 missing)		
PI: R. D. Griffin		
Reference: Griffin, R.D. 2005. Paleohydrology of the Salinas River, California, 
reconstructed from blue oak tree rings. Geological Society of America
Annual Meeting, Denver, CO, October 16, 2005.
URL: http://treeflow.info/cali/salinas.html
Add'l Info: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/
reconstructions/california/salinas-flow.txt

==========    		
Year    Recon   Observed
1409    112.38     -9999      
1410     56.14     -9999      
1411    145.49     -9999      
1412    162.05     -9999      
1413      0.00     -9999      
1414    128.37     -9999      
1415    138.36     -9999      
1416    141.78     -9999      
1417      0.00     -9999      
1418    151.77     -9999      
1419     25.88     -9999      
1420    323.06     -9999      
1421     54.43     -9999      
1422    149.49     -9999      
1423    134.93     -9999      
1424    223.14     -9999      
1425     72.70     -9999      
1426     21.88     -9999      
1427    122.08     -9999      
1428    140.07     -9999      
1429    145.49     -9999      
1430      0.00     -9999      
1431     35.01     -9999      
1432    114.66     -9999      
1433    303.94     -9999      
1434      1.04     -9999      
1435     67.84     -9999      
1436    200.02     -9999      
1437    146.35     -9999      
1438    140.93     -9999      
1439    188.89     -9999      
1440    210.87     -9999      
1441    341.62     -9999      
1442    194.03     -9999      
1443    120.37     -9999      
1444      0.00     -9999      
1445    169.19     -9999      
1446     71.84     -9999      
1447     63.85     -9999      
1448    101.24     -9999      
1449    145.21     -9999      
1450     23.88     -9999      
1451    156.06     -9999      
1452      0.00     -9999      
1453     80.12     -9999      
1454     38.44     -9999      
1455    234.85     -9999      
1456     21.60     -9999      
1457     40.15     -9999      
1458    190.31     -9999      
1459      0.00     -9999      
1460     40.44     -9999      
1461     99.82     -9999      
1462    278.81     -9999      
1463    106.67     -9999      
1464      0.00     -9999      
1465      0.47     -9999      
1466    220.58     -9999      
1467    297.08     -9999      
1468      0.00     -9999      
1469    177.75     -9999      
1470    231.71     -9999      
1471    121.80     -9999      
1472     55.57     -9999      
1473     54.71     -9999      
1474    196.31     -9999      
1475    117.52     -9999      
1476      0.00     -9999      
1477     15.60     -9999      
1478     53.28     -9999      
1479     12.46     -9999      
1480      3.33     -9999      
1481     47.86     -9999      
