Salt-Verde-Tonto waterways, AZ
Lower Colorado River Basin
Water Year (Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = gaged USGS flow record
Lower_95 = lower 95% confidence interval for Recon
Upper_95 = upper 95% confidence interval for Recon
Recon Interval: 1330-2005
Observed Interval: 1914-2005
PI: D. Meko and K. Hirshboeck
URL: http://fp.arizona.edu/kkh/srp2.htm

==========
Year    Recon  Observed  Lower_95  Upper_95
1330   2297252     -9999   1320765   3933019
1331   2280174     -9999   1303687   3915941
1332   1919362     -9999    940200   3559611
1333   1211745     -9999    775263   1862184
1334    756819     -9999    331787   1277426
1335    487858     -9999     62826    987712
1336   2434294     -9999   1455132   4074543
1337   1819319     -9999    842832   4238306
1338    563295     -9999    138263   1063149
1339    848682     -9999    423650   1369289
1340    822252     -9999    396056   1344286
1341    977628     -9999    541146   1548740
1342    743752     -9999    318720   1264359
1343    934596     -9999    498115   1455203
1344   1263671     -9999    825994   1915893
1345   1586859     -9999    610987   4005846
1346   1553115     -9999    577243   3972102
1347    726606     -9999    301574   1247213
1348    778315     -9999    352119   1300349
1349   1931076     -9999    954590   4350064
1350    564231     -9999    139200   1084839
1351    652644     -9999    227612   1173251
1352    913868     -9999    476191   1435902
1353   2705633     -9999   1729146   4341400
1354   1789300     -9999    812813   4208287
1355    585555     -9999    160523   1085409
1356   1572583     -9999    594037   3998198
1357   1631601     -9999    655421   4050588
1358   1784861     -9999    808374   4203848
1359   1684862     -9999    708375   4103849
1360    493323     -9999     67126   1015356
1361    565053     -9999    140021   1075283
1362    654366     -9999    229334   1174973
1363    813222     -9999    388190   1333829
1364   1051607     -9999    613929   1703828
1365    828196     -9999    403164   1348804
1366   1630417     -9999    654545   4049405
1367    764107     -9999    339075   1284715
1368   1738776     -9999    759922   4164390
1369    644388     -9999    219356   1144242
1370   1979510     -9999   1003024   3615278
1371    663840     -9999    238808   1174071
1372    705531     -9999    279334   1227564
1373   1702225     -9999    725738   4121212
1374   1949593     -9999    973107   3585361
1375    709588     -9999    284556   1230195
1376    548579     -9999    122383   1060208
1377   1339060     -9999    902579   1989500
1378   1855219     -9999    878732   4274206
1379    633142     -9999    208110   1153749
1380   2472151     -9999   1492988   4112399
1381   1740240     -9999    763753   4159227
1382   1247602     -9999    811121   1898042
1383    756936     -9999    331905   1256790
1384   1268874     -9999    831197   1921096
1385   1495090     -9999    519218   3914077
1386   1472691     -9999    496819   3891678
1387   1001196     -9999    564715   1572309
1388   1043298     -9999    605621   1695520
1389    570780     -9999    145748   1070634
1390    540452     -9999    212248   1040306
1391    792205     -9999    367174   1312813
1392   1686213     -9999    707668   4111828
1393    931089     -9999    494608   1451697
1394   1581804     -9999    605932   4000791
1395    680239     -9999    255207   1200846
1396    740514     -9999    314318   1262548
1397   1055629     -9999    619147   1706068
1398    606814     -9999    181782   1106667
1399    560004     -9999    143911   1080611
1400    771180     -9999    346148   1281410
1401    987125     -9999    550643   1558237
1402    734623     -9999    309591   1255230
1403    587889     -9999    162857   1087743
1404   1871545     -9999    892383   4297160
1405   1328367     -9999    891885   1978807
1406    920008     -9999    483527   1440616
1407    590134     -9999    165102   1089988
1408    970910     -9999    533232   1492943
1409   1590247     -9999    614375   4009234
1410    671246     -9999    246214   1191853
1411    597152     -9999    172120   1107383
1412   1635172     -9999    656626   4060786
1413    572046     -9999    147014   1071900
1414   2021266     -9999   1044779   3657033
1415    630133     -9999    205102   1129987
1416    854450     -9999    428254   1376484
1417   1459221     -9999    483349   3878208
1418    791846     -9999    366814   1312453
1419   1169750     -9999    733268   1820189
1420   1535621     -9999    557076   3961236
1421    517144     -9999     92112   1016998
1422   1255066     -9999    818585   1905506
1423    567172     -9999    142140   1067026
1424   1541089     -9999    562543   3966703
1425    643396     -9999    218365   1143250
1426   1395019     -9999    958538   2045459
1427   2000686     -9999   1024200   3636454
1428   2050132     -9999   1070970   4475746
1429    605522     -9999    180490   1126129
1430    853488     -9999    428456   1374095
1431   1287103     -9999    850621   1937543
1432   1067621     -9999    629944   1719843
1433   1670993     -9999    695121   4089980
1434   1182368     -9999    745886   1832807
1435    597248     -9999    172216   1107478
1436    909067     -9999    471389   1431100
1437    745133     -9999    320102   1265741
1438    595862     -9999    170830   1095716
1439    847386     -9999    422354   1367993
1440   1323420     -9999    885743   1975642
1441   1780615     -9999    804128   4199602
1442    672239     -9999    247207   1192846
1443    744077     -9999    319046   1264685
1444   1023642     -9999    585964   1596319
1445    717373     -9999    292341   1227603
1446    544771     -9999    119739   1044625
1447   1032287     -9999    595805   1603399
1448    833470     -9999    407274   1355503
1449    617590     -9999    192558   1117444
1450    556885     -9999    131853   1056739
1451   2315188     -9999   1311593   4230311
1452   1596563     -9999    590218   3516932
1453   2269836     -9999   1266240   4184958
1454    740875     -9999    395323   1129745
1455    360716     -9999     15164    749586
1456   1173148     -9999    811788   1969170
1457    627893     -9999    282342   1016763
1458   2332175     -9999   1328579   4247297
1459    659988     -9999    314437   1048858
1460    556270     -9999    209772    946206
1461    890692     -9999    530319   1684539
1462   2489778     -9999   1486182   4404900
1463    709592     -9999    364041   1098462
1464    383795     -9999     37297    773731
1465   1071302     -9999    710930   1865150
1466   3114860     -9999   2111264   5029982
1467   2919062     -9999   1915466   4834184
1468   1182297     -9999    820937   1978319
1469   1081380     -9999    721008   1875228
1470    698479     -9999    352928   1087349
1471    426554     -9999     81003    815425
1472    632211     -9999    285713   1022147
1473    883214     -9999    522842   1677062
1474   1229424     -9999    869052   2023271
1475    969486     -9999    609113   1763333
1476   1284564     -9999    407070   2654992
1477   1775807     -9999    772211   3690929
1478   1131676     -9999    771303   1925523
1479    606102     -9999    260551    994972
1480    656814     -9999    310316   1046750
1481   1167936     -9999    807563   1961783
1482   1930563     -9999    926968   3845685
1483    825501     -9999    479950   1214371
1484   2779648     -9999   1773303   4700017
1485   1016508     -9999    656135   1810355
1486   1215170     -9999    854797   2009017
1487    520744     -9999    175193    909614
1488   1143671     -9999    782311   1939693
1489   1501790     -9999    562444   3416913
1490   1577154     -9999    573558   3492276
1491   2466287     -9999   1462692   4381410
1492   1054716     -9999    693356   1850738
1493    826342     -9999    480791   1215213
1494    862918     -9999    502545   1299302
1495    359453     -9999     13902    748323
1496   1347111     -9999    469617   2717539
1497   1298866     -9999    423770   2665550
1498   2000320     -9999    996725   3915443
1499    861683     -9999    501310   1298067
1500    386182     -9999     40630    775052
1501   1072960     -9999    712587   1866807
1502   1264180     -9999    389083   2905083
1503   1239086     -9999    363990   2605770
1504   1344084     -9999    337739   2714512
1505    731038     -9999    385487   1119909
1506    539114     -9999    193563    927985
1507   1960171     -9999    956576   3875294
1508   1403716     -9999    526222   3324086
1509   2836386     -9999   1832791   4751509
1510    549926     -9999    204374    938796
1511   2032785     -9999   1029190   3947907
1512   1327220     -9999    449726   2697648
1513   1735764     -9999    732169   3650887
1514   1325909     -9999    450812   2692593
1515    726004     -9999    380453   1114874
1516    589223     -9999    242725    979159
1517    581066     -9999    235514    969936
1518   1282292     -9999    342946   2923195
1519   1903898     -9999    900303   3819021
1520   1170839     -9999    809479   1966861
1521    619405     -9999    273854   1008275
1522    417881     -9999     72330    806751
1523   1165501     -9999    805128   1959348
1524   1043546     -9999    682186   1839568
1525    969020     -9999    608648   1762867
1526   2316605     -9999   1313010   4231727
1527    667844     -9999    322293   1056715
1528    754913     -9999    408415   1144849
1529    849195     -9999    503644   1285579
1530   1519209     -9999    644112   3434331
1531    927045     -9999    566672   1720892
1532    397246     -9999     50748    787182
1533   1111904     -9999    751532   1905751
1534   1381988     -9999    442642   2748671
1535   1290900     -9999    415803   2657583
1536   1976259     -9999    969914   3896628
1537   1594930     -9999    591334   3235833
1538    378869     -9999     33318    767739
1539   1369346     -9999    494250   3010249
1540   1727207     -9999    720862   3647576
1541   1070366     -9999    709993   1864213
1542    340170     -9999         0    729040
1543   1571513     -9999    567917   3486635
1544    633498     -9999    287000   1023434
1545    909218     -9999    548846   1345603
1546   1640562     -9999    636966   3555684
1547    638003     -9999    292452   1026873
1548    890397     -9999    529037   1686419
1549   2198912     -9999   1195316   4114034
1550   1823470     -9999    819874   3738592
1551    851328     -9999    490956   1287713
1552   1123390     -9999    762030   1919412
1553   1370346     -9999    495249   3011249
1554    672044     -9999    326493   1060914
1555   1712248     -9999    708653   3627371
1556   1891489     -9999    885144   3811858
1557   1303482     -9999    428386   2944385
1558    810109     -9999    464558   1198980
1559    825576     -9999    480025   1214447
1560   1178958     -9999    817597   1974980
1561    580629     -9999    235078    969500
1562   1053226     -9999    692854   1847073
1563   1229852     -9999    869480   2023699
1564   2615182     -9999   1608837   4535552
1565   2152771     -9999   1149175   4067893
1566    782103     -9999    436552   1170974
1567    860627     -9999    515076   1297011
1568   1573122     -9999    566777   3493491
1569   1273438     -9999    398341   2640121
1570   1250948     -9999    375852   2617632
1571    531888     -9999    186337    920758
1572    884045     -9999    522685   1500846
1573    496134     -9999    150583    885005
1574    651555     -9999    306004   1040425
1575   1139839     -9999    779466   1933686
1576    742539     -9999    396041   1132475
1577   1533002     -9999    657906   3448125
1578    955149     -9999    594776   1748996
1579    511326     -9999    165775    900197
1580    567782     -9999    221285    957718
1581   1295202     -9999    355856   3210325
1582    616732     -9999    271180   1005602
1583    461309     -9999    115758    850180
1584    467016     -9999    120518    856951
1585    491530     -9999    145979    880400
1586   2275601     -9999   1272006   4190724
1587   1255790     -9999    380693   2622473
1588   1452790     -9999    510871   3373160
1589    866979     -9999    506607   1303364
1590    399849     -9999     54298    788719
1591    886733     -9999    526360   1680580
1592    554018     -9999    207521    943954
1593    825921     -9999    480370   1214791
1594   3785513     -9999   2781918   5700636
1595   1200798     -9999    840425   1994645
1596   1258467     -9999    380973   2628895
1597    613538     -9999    267987   1002409
1598    643363     -9999    297812   1032233
1599   1795812     -9999    792217   3710935
1600    407946     -9999     61448    797882
1601    630066     -9999    284515   1018936
1602   1605384     -9999    601789   3520507
1603   1214241     -9999    853868   2008088
1604   1709218     -9999    702873   3629587
1605   1531615     -9999    528019   3446737
1606   1149343     -9999    788970   1943190
1607    721418     -9999    375867   1110288
1608   1204322     -9999    842962   2000344
1609   2048576     -9999   1044980   3963698
1610   2054092     -9999   1050496   3969214
1611   1107070     -9999    746697   1900917
1612    678227     -9999    331730   1068163
1613    629187     -9999    283636   1018057
1614    992827     -9999    632454   1786674
1615   1593144     -9999    589549   3508266
1616   1368460     -9999    490966   2738888
1617   1448059     -9999    444464   3363182
1618   2230817     -9999   1227222   4145940
1619    962963     -9999    602590   1756810
1620   1905234     -9999    898889   3825603
1621   2821532     -9999   1817936   4736654
1622    742444     -9999    396893   1131315
1623    375494     -9999     29943    764364
1624    547246     -9999    200749    937182
1625   1311668     -9999    436572   3226791
1626    537629     -9999    192078    926500
1627   2384807     -9999   1381212   4299930
1628    802316     -9999    455818   1192251
1629   1441447     -9999    502101   2808131
1630   1235203     -9999    360106   2601886
1631    854418     -9999    494045   1290802
1632    478185     -9999    131687    868121
1633   1971579     -9999    967984   3886702
1634   1877017     -9999    873422   3792140
1635   1574607     -9999    571012   3489730
1636    784144     -9999    437646   1174080
1637    532714     -9999    187162    921584
1638    890581     -9999    530209   1326966
1639   1784307     -9999    780712   3699430
1640   2780183     -9999   1773838   4700553
1641   1688070     -9999    684474   3603192
1642   1357392     -9999    482295   2724075
1643   1117869     -9999    757496   1911716
1644   1635645     -9999    629300   3556015
1645    763349     -9999    417798   1152220
1646   1309729     -9999    434632   2676412
1647   1592578     -9999    588983   3507701
1648    457625     -9999    111127    847560
1649   2260239     -9999   1256644   4175362
1650   1817248     -9999    813653   3732370
1651   2703336     -9999   1699741   4618459
1652    738633     -9999    392135   1128569
1653   1063768     -9999    703395   1857615
1654    363453     -9999     17902    752323
1655   1768136     -9999    764541   3683259
1656   1435016     -9999    493097   3355386
1657    763996     -9999    418445   1152866
1658    674402     -9999    328850   1063272
1659   1170192     -9999    809819   1964039
1660   1915537     -9999    909192   3835906
1661   1496637     -9999    493041   2863320
1662    664371     -9999    318820   1053241
1663    846653     -9999    486281   1283038
1664    642709     -9999    296211   1032645
1665   1203647     -9999    843274   1997494
1666    612865     -9999    267314   1001735
1667    553788     -9999    208237    942659
1668    518887     -9999    172389    908822
1669    729137     -9999    383586   1118008
1670    424090     -9999     78539    812960
1671   1366235     -9999    491138   2732918
1672   1254417     -9999    248072   2624845
1673   1329431     -9999    454334   2696114
1674   1237619     -9999    362522   2604303
1675    762929     -9999    417377   1151799
1676    520147     -9999    173649    910083
1677   1718916     -9999    715320   3634038
1678   1147133     -9999    786760   1940980
1679    642689     -9999    297138   1031559
1680   2769977     -9999   1763632   4690346
1681   2382803     -9999   1379207   4297925
1682   1354860     -9999    479764   2721544
1683   2114476     -9999   1110881   4029599
1684    449385     -9999    102887    839320
1685    351894     -9999      6343    740764
1686   1175878     -9999    815505   1969725
1687   2804165     -9999   1800569   4719287
1688   1354333     -9999    476839   2724761
1689   1725734     -9999    722139   3640857
1690   1336536     -9999    461439   2977439
1691   1056847     -9999    696474   1850694
1692   1901644     -9999    895299   3822013
1693   1648926     -9999    645330   3564048
1694    603819     -9999    258268    992689
1695   1398841     -9999    459495   2765525
1696    542688     -9999    196190    932624
1697    830516     -9999    484965   1219386
1698    942201     -9999    581828   1736048
1699   1294671     -9999    419574   2661354
1700    606822     -9999    261271    995692
1701   2536545     -9999   1532950   4451667
1702    628546     -9999    282995   1017417
1703    591616     -9999    246065    980486
1704    911373     -9999    550013   1348953
1705   1484538     -9999    480942   3399660
1706   1128209     -9999    767836   1922056
1707    673052     -9999    327500   1061922
1708    824027     -9999    477529   1213963
1709    975664     -9999    615291   1769511
1710   1945313     -9999    941717   3860435
1711    873989     -9999    513616   1310373
1712   1211949     -9999    850589   2007971
1713    917375     -9999    557002   1711222
1714   1008879     -9999    648506   1802726
1715    740445     -9999    394894   1129315
1716    590686     -9999    244188    980621
1717   1209855     -9999    849482   2003702
1718   2022302     -9999   1018707   3937425
1719   1448455     -9999    444860   3363578
1720   2990243     -9999   1983898   4910612
