"Jackson Lake at Dam on Snake River near Moran, WY",,
Pacific Northwest Basins,,
"Annual (Water Year Year, Oct-Sep) streamflow reconstruction",,
Values in acre-feet,,
Recon  = reconstructed flows,,
Observed = observed flow record (see Reference or URLs below for details),,
Recon Interval: 1591-2005,,
Observed Interval: 1910-2005,,
PI: E. Wise,,
"Reference: Wise, E. K.  2010. Tree ring record of streamflow and drought in the upper Snake River.  Water Resources Research, 46,
W11529, doi:10.1029/2010WR009282.",,
URL: http://treeflow.info/pnw/snakemoran.html,,
,,
,,
Calendar Year,Observed,Recon 
1591,,1040017
1592,,849148
1593,,1055277
1594,,886212
1595,,1092973
1596,,1553750
1597,,965465
1598,,875478
1599,,898880
1600,,1064750
1601,,1438806
1602,,896917
1603,,1207853
1604,,1196718
1605,,1057712
1606,,810127
1607,,945723
1608,,1252319
1609,,1215472
1610,,868968
1611,,1139980
1612,,968244
1613,,833677
1614,,1081817
1615,,1076694
1616,,1181418
1617,,1215104
1618,,946782
1619,,918725
1620,,1078808
1621,,1020868
1622,,1100520
1623,,1331287
1624,,1112046
1625,,1123923
1626,,797159
1627,,1017557
1628,,1017231
1629,,885249
1630,,736995
1631,,584928
1632,,697100
1633,,1340103
1634,,1108623
1635,,722527
1636,,801887
1637,,1089069
1638,,867488
1639,,712298
1640,,1083282
1641,,1272706
1642,,927130
1643,,1011214
1644,,862837
1645,,908959
1646,,855463
1647,,758795
1648,,1068962
1649,,962431
1650,,1252396
1651,,886411
1652,,611673
1653,,1218918
1654,,1119710
1655,,1083607
1656,,772440
1657,,752504
1658,,927415
1659,,946057
1660,,1188146
1661,,871947
1662,,1132243
1663,,1135977
1664,,1264742
1665,,1197606
1666,,906788
1667,,875927
1668,,949930
1669,,1075926
1670,,1161367
1671,,765389
1672,,1295975
1673,,1141565
1674,,1097738
1675,,1309232
1676,,1318331
1677,,942129
1678,,806603
1679,,1069599
1680,,997538
1681,,966178
1682,,1266381
1683,,1271230
1684,,877068
1685,,709990
1686,,949696
1687,,1217584
1688,,1251548
1689,,1059363
1690,,1232720
1691,,1178517
1692,,1049895
1693,,1261034
1694,,811082
1695,,648101
1696,,1118803
1697,,1140279
1698,,1171112
1699,,1124329
1700,,1344635
1701,,1199007
1702,,897095
1703,,835233
1704,,860614
1705,,978679
1706,,970582
1707,,971206
1708,,995396
1709,,1077178
1710,,710099
1711,,985082
1712,,973857
1713,,1195021
1714,,1036089
1715,,1206590
1716,,904039
1717,,1068588
1718,,1145150
1719,,974960
1720,,1131213
1721,,544703
1722,,1226201
1723,,887305
1724,,919579
1725,,1282763
1726,,1287598
1727,,1492151
1728,,891892
1729,,859525
1730,,1149844
1731,,1046262
1732,,1218025
1733,,1197215
1734,,1102071
1735,,900797
1736,,804627
1737,,933339
1738,,869753
1739,,970608
1740,,947712
1741,,1158903
1742,,949089
1743,,929470
1744,,1070133
1745,,1256045
1746,,1226478
1747,,1326382
1748,,1063115
1749,,935018
1750,,1148218
1751,,1096608
1752,,1135751
1753,,936032
1754,,1068019
1755,,651713
1756,,918640
1757,,1159026
1758,,905389
1759,,788289
1760,,1109256
1761,,1046297
1762,,977461
1763,,1082404
1764,,1220324
1765,,969356
1766,,1138846
1767,,1214544
1768,,1102810
1769,,1036345
1770,,812966
1771,,1045718
1772,,1009255
1773,,957093
1774,,1157060
1775,,1150239
1776,,1089033
1777,,821146
1778,,1056313
1779,,1305129
1780,,755609
1781,,1161861
1782,,1091739
1783,,802601
1784,,1148641
1785,,1134265
1786,,1158958
1787,,1233415
1788,,1086920
1789,,1097924
1790,,1293978
1791,,1115116
1792,,950387
1793,,1105589
1794,,489758
1795,,1026173
1796,,1162890
1797,,1152376
1798,,1300964
1799,,1205891
1800,,542420
1801,,1165755
1802,,1125544
1803,,920071
1804,,715976
1805,,1012601
1806,,876754
1807,,816821
1808,,886146
1809,,1071718
1810,,1190728
1811,,1223260
1812,,1041185
1813,,1004139
1814,,624204
1815,,1202481
1816,,977738
1817,,1024761
1818,,837572
1819,,1199310
1820,,1255598
1821,,984281
1822,,897529
1823,,936076
1824,,932996
1825,,1083405
1826,,1097658
1827,,1261519
1828,,1141168
1829,,819966
1830,,971765
1831,,932749
1832,,1067036
1833,,926636
1834,,1003699
1835,,1039482
1836,,1236828
1837,,1210205
1838,,1315219
1839,,801376
1840,,1196121
1841,,879654
1842,,1115263
1843,,1094759
1844,,908901
1845,,1060912
1846,,604899
1847,,1037335
1848,,950936
1849,,1157991
1850,,1059185
1851,,884977
1852,,1156181
1853,,1378514
1854,,1201560
1855,,755687
1856,,785373
1857,,936784
1858,,918755
1859,,954842
1860,,1062528
1861,,1138516
1862,,1106532
1863,,695093
1864,,892182
1865,,1238077
1866,,1329742
1867,,1270367
1868,,1158076
1869,,1056457
1870,,918871
1871,,905603
1872,,1129649
1873,,1200267
1874,,1178337
1875,,1106314
1876,,1065801
1877,,889323
1878,,849009
