South Platte River at South Platte, CO		
Platte River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Denver Water		
Recon Interval: 1634-2002		
Observed Interval: 1916-2002		
PI: C. Woodhouse
Reference: n/a		
URL: http://treeflow.info/platte/splattesplatte.html

==========
Year	   Recon	Observed       
1634		194142     -9999	
1635		230151     -9999	
1636		243103     -9999	
1637		237369     -9999	
1638		192470     -9999	
1639		409455     -9999	
1640		419725     -9999	
1641		239659     -9999	
1642		337801     -9999	
1643		340653     -9999	
1644		271420     -9999	
1645		133640     -9999	
1646		206835     -9999	
1647		399574     -9999	
1648		216139     -9999	
1649		404354     -9999	
1650		223212     -9999	
1651		277347     -9999	
1652		242038     -9999	
1653		159823     -9999	
1654		101088     -9999	
1655		623753     -9999	
1656		304071     -9999	
1657		359844     -9999	
1658		244368     -9999	
1659		223335     -9999	
1660		257620     -9999	
1661		335531     -9999	
1662		256663     -9999	
1663		272496     -9999	
1664		171613     -9999	
1665		286023     -9999	
1666		211278     -9999	
1667		171942     -9999	
1668		121753     -9999	
1669		200818     -9999	
1670		223293     -9999	
1671		210437     -9999	
1672		283227     -9999	
1673		468135     -9999	
1674		286859     -9999	
1675		193695     -9999	
1676		452162     -9999	
1677		312189     -9999	
1678		523565     -9999	
1679		163192     -9999	
1680		493520     -9999	
1681		212557     -9999	
1682		209750     -9999	
1683		419040     -9999	
1684		175723     -9999	
1685		 80127     -9999	
1686		235488     -9999	
1687		266258     -9999	
1688		360378     -9999	
1689		324602     -9999	
1690		290227     -9999	
1691		375192     -9999	
1692		374276     -9999	
1693		242514     -9999	
1694		282274     -9999	
1695		306652     -9999	
1696		344403     -9999	
1697		269604     -9999	
1698		397194     -9999	
1699		243001     -9999	
1700		232896     -9999	
1701		335249     -9999	
1702		386352     -9999	
1703		216763     -9999	
1704		148787     -9999	
1705		307917     -9999	
1706		266303     -9999	
1707		139494     -9999	
1708		234681     -9999	
1709		213656     -9999	
1710		490469     -9999	
1711		251546     -9999	
1712		373987     -9999	
1713		261815     -9999	
1714		189146     -9999	
1715		209890     -9999	
1716		219968     -9999	
1717		299607     -9999	
1718		296496     -9999	
1719		310945     -9999	
1720		718058     -9999	
1721		222839     -9999	
1722		159510     -9999	
1723		179544     -9999	
1724		298841     -9999	
1725		300695     -9999	
1726		509294     -9999	
1727		275722     -9999	
1728		261323     -9999	
1729		124341     -9999	
1730		163763     -9999	
1731		290467     -9999	
1732		220620     -9999	
1733		324344     -9999	
1734		334209     -9999	
1735		175193     -9999	
1736		176211     -9999	
1737		191579     -9999	
1738		223721     -9999	
1739		318618     -9999	
1740		190348     -9999	
1741		274472     -9999	
1742		220584     -9999	
1743		370849     -9999	
1744		232585     -9999	
1745		254137     -9999	
1746		459884     -9999	
1747		393114     -9999	
1748		112041     -9999	
1749		427544     -9999	
1750		198768     -9999	
1751		360697     -9999	
1752		248118     -9999	
1753		346638     -9999	
1754		303841     -9999	
1755		231532     -9999	
1756		131956     -9999	
1757		277929     -9999	
1758		270123     -9999	
1759		296100     -9999	
1760		259703     -9999	
1761		603448     -9999	
1762		330582     -9999	
1763		167565     -9999	
1764		264860     -9999	
1765		230782     -9999	
1766		364140     -9999	
1767		210289     -9999	
1768		518731     -9999	
1769		345922     -9999	
1770		162198     -9999	
1771		398545     -9999	
1772		240053     -9999	
1773		227064     -9999	
1774		348762     -9999	
1775		222306     -9999	
1776		225559     -9999	
1777		180287     -9999	
1778		260383     -9999	
1779		203216     -9999	
1780		223157     -9999	
1781		207559     -9999	
1782		239166     -9999	
1783		428163     -9999	
1784		332867     -9999	
1785		294635     -9999	
1786		168498     -9999	
1787		459065     -9999	
1788		237292     -9999	
1789		109665     -9999	
1790		520428     -9999	
1791		289502     -9999	
1792		522719     -9999	
1793		261815     -9999	
1794		305694     -9999	
1795		208915     -9999	
1796		334781     -9999	
1797		381082     -9999	
1798		126485     -9999	
1799		376801     -9999	
1800		349097     -9999	
1801		264409     -9999	
1802		335955     -9999	
1803		333068     -9999	
1804		197257     -9999	
1805		177717     -9999	
1806		214382     -9999	
1807		249103     -9999	
1808		271486     -9999	
1809		203281     -9999	
1810		276136     -9999	
1811		242771     -9999	
1812		329281     -9999	
1813		261349     -9999	
1814		300564     -9999	
1815		333421     -9999	
1816		399295     -9999	
1817		310441     -9999	
1818		181465     -9999	
1819		232609     -9999	
1820		162290     -9999	
1821		248678     -9999	
1822		233773     -9999	
1823		276317     -9999	
1824		140678     -9999	
1825		258611     -9999	
1826		316483     -9999	
1827		287858     -9999	
1828		487537     -9999	
1829		319498     -9999	
1830		239075     -9999	
1831		452744     -9999	
1832		404028     -9999	
1833		290317     -9999	
1834		166579     -9999	
1835		391159     -9999	
1836		346836     -9999	
1837		438740     -9999	
1838		378247     -9999	
1839		443119     -9999	
1840		256908     -9999	
1841		353580     -9999	
1842		 96065     -9999	
1843		454074     -9999	
1844		345422     -9999	
1845		122409     -9999	
1846		180492     -9999	
1847		107892     -9999	
1848		250294     -9999	
1849		379162     -9999	
1850		337958     -9999	
1851		 79444     -9999	
1852		226958     -9999	
1853		368330     -9999	
1854		274139     -9999	
1855		159546     -9999	
1856		218896     -9999	
1857		290635     -9999	
1858		379544     -9999	
1859		228493     -9999	
1860		368335     -9999	
1861		151797     -9999	
1862		278071     -9999	
1863		164933     -9999	
1864		361185     -9999	
1865		261553     -9999	
1866		649044     -9999	
1867		493097     -9999	
1868		323946     -9999	
1869		517359     -9999	
1870		181998     -9999	
1871		133805     -9999	
1872		339306     -9999	
1873		284988     -9999	
1874		190242     -9999	
1875		252496     -9999	
1876		259715     -9999	
1877		233810     -9999	
1878		234346     -9999	
1879		181484     -9999	
1880		116111     -9999	
1881		275382     -9999	
1882		270005     -9999	
1883		239965     -9999	
1884		368784     -9999	
1885		260130     -9999	
1886		209383     -9999	
1887		137047     -9999	
1888		211024     -9999	
1889		218766     -9999	
1890		256092     -9999	
1891		305456     -9999	
1892		271712     -9999	
1893		163029     -9999	
1894		322711     -9999	
1895		393305     -9999	
1896		150740     -9999	
1897		312970     -9999	
1898		242081     -9999	
1899		173047     -9999	
1900		313136     -9999	
1901		198269     -9999	
1902		119960     -9999	
1903		351680     -9999	
1904		241934     -9999	
1905		343912     -9999	
1906		248080     -9999	
1907		439937     -9999	
1908		149053     -9999	
1909		382176     -9999	
1910		198114     -9999	
1911		230383     -9999	
1912		400495     -9999	
1913		223448     -9999	
1914		422114     -9999	
1915		292544     -9999	
1916		262745    262257
1917		372675		353943
1918		284623		347790
1919		300926		327513
1920		269803		369026
