Wind River near Dubois, WY		
Upper Missouri River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = USGS gage record 		
Recon Interval: 1560-1992		
Observed Interval: 1946-1992		
PI: T. Watson		
Reference: Watson, Thomas A., F. Anthony Barnett, Stephen T. Gray, and Glenn A. 
Tootle, 2009. Reconstructed Streamflows for the Headwaters of the Wind River,
Wyoming, United States. Journal of the American Water Resources
Association (JAWRA) 45(1):224-236.
URL: http://treeflow.info/upco/winddubois.html
Note: The reconstruction below is slightly different from those described in
Watson et al. 2009. See the URL for more details.  		

==========
Year     Recon  Observed
1560    158917     -9999
1561    117703     -9999
1562    105303     -9999
1563     86300     -9999
1564    185930     -9999
1565    129539     -9999
1566     91181     -9999
1567    144800     -9999
1568    110271     -9999
1569     85995     -9999
1570    136283     -9999
1571     97184     -9999
1572    103072     -9999
1573    120981     -9999
1574     97153     -9999
1575    138375     -9999
1576     98687     -9999
1577    142616     -9999
1578    129904     -9999
1579     98823     -9999
1580     58263     -9999
1581    134607     -9999
1582    126622     -9999
1583    119152     -9999
1584     70826     -9999
1585     89284     -9999
1586    126238     -9999
1587    100228     -9999
1588    139319     -9999
1589    124204     -9999
1590     93857     -9999
1591    117443     -9999
1592    115484     -9999
1593     95361     -9999
1594    141784     -9999
1595    111526     -9999
1596    115186     -9999
1597    147697     -9999
1598     74823     -9999
1599    130629     -9999
1600     62284     -9999
1601    159092     -9999
1602    153753     -9999
1603    117490     -9999
1604    164688     -9999
1605    126695     -9999
1606    114011     -9999
1607     88156     -9999
1608    129699     -9999
1609    139689     -9999
1610    130352     -9999
1611    127180     -9999
1612     77331     -9999
1613    129439     -9999
1614     98983     -9999
1615    121883     -9999
1616    114698     -9999
1617    140363     -9999
1618    103382     -9999
1619    141264     -9999
1620     97838     -9999
1621    147062     -9999
1622    120828     -9999
1623    105513     -9999
1624    136804     -9999
1625     90735     -9999
1626     96000     -9999
1627    126358     -9999
1628    145975     -9999
1629    117945     -9999
1630     81495     -9999
1631     86474     -9999
1632     87699     -9999
1633    160813     -9999
1634    115557     -9999
1635    104741     -9999
1636    121087     -9999
1637     88458     -9999
1638    119784     -9999
1639    131725     -9999
1640    136834     -9999
1641    137506     -9999
1642    128702     -9999
1643    122351     -9999
1644    122819     -9999
1645     97473     -9999
1646     94719     -9999
1647    151309     -9999
1648     83526     -9999
1649    151697     -9999
1650    112809     -9999
1651    154112     -9999
1652     83845     -9999
1653     80691     -9999
1654    119535     -9999
1655    151481     -9999
1656    112547     -9999
1657     92716     -9999
1658    108879     -9999
1659    110031     -9999
1660    133377     -9999
1661    158271     -9999
1662    126072     -9999
1663    129476     -9999
1664     96376     -9999
1665    109824     -9999
1666    145489     -9999
1667     87574     -9999
1668    125060     -9999
1669     98542     -9999
1670    135358     -9999
1671    105648     -9999
1672    142695     -9999
1673    157077     -9999
1674    143545     -9999
1675    120699     -9999
1676    174511     -9999
1677    126551     -9999
1678    128479     -9999
1679    111338     -9999
1680    163815     -9999
1681    100831     -9999
1682    118608     -9999
1683    146328     -9999
1684    115971     -9999
1685     85667     -9999
1686     90079     -9999
1687    149816     -9999
1688    128623     -9999
1689    117490     -9999
1690    107100     -9999
1691    142090     -9999
1692    140857     -9999
1693    115738     -9999
1694    141262     -9999
1695     71239     -9999
1696    122840     -9999
1697    133413     -9999
1698    111509     -9999
1699    148822     -9999
1700    152144     -9999
1701    147448     -9999
1702    139570     -9999
1703     77545     -9999
1704     83012     -9999
1705    117560     -9999
1706    103291     -9999
1707    111415     -9999
1708     94384     -9999
1709    135191     -9999
1710    119351     -9999
1711    110837     -9999
1712    123469     -9999
1713    132586     -9999
1714    148128     -9999
1715    123661     -9999
1716    132589     -9999
1717     68285     -9999
1718    108017     -9999
1719    174707     -9999
1720    134742     -9999
1721     94608     -9999
1722    108794     -9999
1723    157337     -9999
1724    119354     -9999
1725    123296     -9999
1726    174141     -9999
1727    126679     -9999
1728    147048     -9999
1729     84334     -9999
1730    129403     -9999
1731    115447     -9999
1732    112298     -9999
1733    162793     -9999
1734    131339     -9999
1735    101918     -9999
1736    116571     -9999
1737    104242     -9999
1738     94486     -9999
1739    114790     -9999
1740    105660     -9999
1741    133803     -9999
1742    128098     -9999
1743    113670     -9999
1744     91495     -9999
1745    141465     -9999
1746    158412     -9999
1747    149577     -9999
1748    133328     -9999
1749    118930     -9999
1750    124889     -9999
1751    160172     -9999
1752    123453     -9999
1753    126077     -9999
1754    102920     -9999
1755    114942     -9999
1756     71443     -9999
1757    123406     -9999
1758    123233     -9999
1759     92308     -9999
1760    114145     -9999
1761    146018     -9999
1762    123143     -9999
1763    123535     -9999
1764    145122     -9999
1765    109853     -9999
1766    141265     -9999
1767    122105     -9999
1768    155954     -9999
1769    118994     -9999
1770    110005     -9999
1771    147168     -9999
1772    133797     -9999
1773    132522     -9999
1774     95103     -9999
1775    142886     -9999
1776    140970     -9999
1777    117064     -9999
1778    112679     -9999
1779    126976     -9999
1780    144588     -9999
1781    109355     -9999
1782     93492     -9999
1783    130084     -9999
1784    115502     -9999
1785    113059     -9999
1786    114872     -9999
1787    132643     -9999
1788    122176     -9999
1789    119180     -9999
1790    142461     -9999
1791    138643     -9999
1792    156457     -9999
1793     99745     -9999
1794    151442     -9999
1795     68778     -9999
1796    160308     -9999
1797    146315     -9999
1798     77268     -9999
1799    157605     -9999
1800     98755     -9999
1801     98246     -9999
1802    140181     -9999
1803    112505     -9999
1804    103223     -9999
1805     92693     -9999
1806    103886     -9999
1807     98005     -9999
1808    107310     -9999
1809    104461     -9999
1810    138270     -9999
1811    148471     -9999
1812    135291     -9999
1813    122430     -9999
1814    126323     -9999
1815    122871     -9999
1816    141380     -9999
1817    129473     -9999
1818    126252     -9999
1819    118974     -9999
1820    133124     -9999
1821    159612     -9999
1822     89809     -9999
1823    132896     -9999
1824    103270     -9999
1825    121755     -9999
1826    143899     -9999
1827    140055     -9999
1828    173701     -9999
1829    124655     -9999
1830     99261     -9999
1831    111033     -9999
1832    136085     -9999
1833    138964     -9999
1834    107767     -9999
1835    141805     -9999
1836    130834     -9999
1837    176078     -9999
1838    139064     -9999
1839    176608     -9999
1840    101701     -9999
1841    152124     -9999
1842     66515     -9999
1843    167363     -9999
1844    124515     -9999
1845     96493     -9999
1846    106738     -9999
1847    106699     -9999
1848     97035     -9999
1849    157191     -9999
1850    115766     -9999
1851    103568     -9999
1852    120691     -9999
1853    160501     -9999
1854    169839     -9999
1855     75697     -9999
1856    107697     -9999
1857    101747     -9999
1858    129540     -9999
1859    103297     -9999
1860     98327     -9999
1861    113045     -9999
1862    132514     -9999
1863     99074     -9999
1864    103001     -9999
1865    114010     -9999
1866    171935     -9999
1867    139707     -9999
1868    141710     -9999
1869    113331     -9999
1870    122527     -9999
1871     89177     -9999
1872    123262     -9999
1873    151390     -9999
1874    116035     -9999
1875    140412     -9999
1876    110638     -9999
1877    120511     -9999
1878    120537     -9999
1879    113970     -9999
1880    111749     -9999
1881    126727     -9999
1882    101217     -9999
1883    119381     -9999
1884    134761     -9999
1885    137079     -9999
1886     98959     -9999
1887    103263     -9999
1888    130379     -9999
1889     83439     -9999
1890    120962     -9999
1891    120210     -9999
1892    128009     -9999
1893     82750     -9999
1894    130890     -9999
1895    141240     -9999
1896     87403     -9999
1897    125302     -9999
1898    125242     -9999
1899    111665     -9999
1900    122475     -9999
1901     94822     -9999
1902     76378     -9999
1903    125037     -9999
1904    124684     -9999
1905    130088     -9999
1906    135504     -9999
1907    161131     -9999
1908    150362     -9999
1909    148455     -9999
